ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
269,Justin Holiday,IND,Indiana Pacers,Small Forward,4767000,31,50,23.2,8.2,3.7,8.4,1.1,3.2,1.5,2,0.4,2.8,3.2,2.2,0.9,0.3,1.9,9.5,1.8
270,Justin Jackson,DAL,Dallas Mavericks,Small Forward,3280920,25,65,28.9,6.4,3.6,8.5,1,3.1,1.6,1.9,1.2,2.7,3.9,5.4,1.2,0.1,2,13.5,1.1
271,Justin James,SAC,Sacramento Kings,Shooting Guard,898310,23,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
272,Justin Patton,OKC,Oklahoma City Thunder,Center,1620564,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Justin Robinson,WAS,Washington Wizards,Point Guard,898310,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Justin Wright-Foreman,UTA,Utah Jazz,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Justise Winslow,MEM,Memphis Grizzlies,Small Forward,13000000,24,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
276,Juwan Morgan,UTA,Utah Jazz,Small Forward,746054,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Kadeem Allen,NYK,New York Knicks,,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Karl-Anthony Towns,MIN,Minnesota Timberwolves,Center,27285000,24,0,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3
279,Kawhi Leonard,LAC,LA Clippers,Small Forward,32742000,28,63,22.8,25,3.3,7.5,2.4,6.2,0.7,1,0.3,1.9,2.2,0.9,0.6,0.2,0.7,8.6,2.1
280,Keita Bates-Diop,DEN,Denver Nuggets,Small Forward,1416852,24,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
281,Kelan Martin,MIN,Minnesota Timberwolves,,,24,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
282,Keldon Johnson,SAS,San Antonio Spurs,Small Forward,1950600,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Kelly Olynyk,MIA,Miami Heat,Power Forward,12667885,29,64,29.9,9.2,3.4,7.7,1.9,4.8,1,1.3,0.4,3.6,4,5.2,0.9,0.1,1.9,13.4,2.7
284,Kelly Oubre Jr.,PHX,Phoenix Suns,Small Forward,15625000,24,61,24.9,0,3.8,8.3,0.8,2.4,1.4,1.9,1,4.3,5.3,2.3,1.2,0.1,1.1,12.7,0
285,Kemba Walker,BOS,Boston Celtics,Point Guard,32742000,30,64,21.8,21.9,3.5,8,2,5,0.8,1.1,0.3,2.1,2.3,1.1,0.6,0.2,0.8,8.3,1.7
286,Kendrick Nunn,MIA,Miami Heat,Shooting Guard,1416852,24,61,23.1,15.3,4.1,5.6,0,0,1.4,2.4,3,4,7,0.6,0.9,2,0.6,17,2.7
287,Kenrich Williams,NOP,New Orleans Pelicans,Small Forward,1416852,25,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
288,Kent Bazemore,SAC,Sacramento Kings,Shooting Guard,19269662,30,47,27.5,7.7,3.1,7.5,2.2,5.7,1.2,1.3,0.1,1.8,1.9,1.9,0.4,0.2,0.8,8.8,2.9
289,Kentavious Caldwell-Pope,LAL,Los Angeles Lakers,Shooting Guard,8089282,27,52,21.2,8,3.4,6.5,1.4,2.9,1.3,1.6,0.9,2.1,3,2.9,0.8,0.1,0.9,12.1,1.7
290,Kevin Hervey,OKC,Oklahoma City Thunder,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Kevin Huerter,ATL,Atlanta Hawks,Shooting Guard,2636280,21,63,25.5,8.5,3.5,7.4,1.4,3.5,1.2,1.5,0.6,1.5,2.1,1.7,0.8,0.2,0.9,9.2,2
292,Kevin Knox II,NYK,New York Knicks,Small Forward,4380120,20,58,23.6,0,3.5,8.6,1.4,3.5,1.1,1.2,0.4,1.9,2.3,3.3,0.8,0.2,1.3,9.5,0
293,Kevin Love,CLE,Cleveland Cavaliers,Power Forward,28942830,31,59,23.1,16.7,3.5,7.7,1.3,3.7,1,1.3,1,3.9,4.9,2.3,1.4,0.3,1.2,12.6,1.5
294,Kevin Porter Jr.,CLE,Cleveland Cavaliers,Shooting Guard,1290960,20,64,29.7,0,3.3,7.1,1.5,4.1,1.1,1.5,2,3.5,5.5,1.5,0.7,0.6,1,12.4,0
295,Kevon Looney,GSW,Golden State Warriors,Power Forward,4464226,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Khem Birch,ORL,Orlando Magic,Power Forward,3000000,27,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
297,Khris Middleton,MIL,Milwaukee Bucks,Small Forward,30603448,28,58,23.8,17.4,3.7,6.6,0.4,1.4,1.4,1.8,2.2,4.3,6.6,1.6,0.6,1.3,0.8,15.3,2.3
298,Khyri Thomas,DET,Detroit Pistons,Shooting Guard,1416852,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Kostas Antetokounmpo,LAL,Los Angeles Lakers,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Kris Dunn,CHI,Chicago Bulls,Point Guard,5348007,26,59,20.3,6.4,3.6,6.5,0.1,0.7,2,2.6,1.9,4.3,6.2,1.9,0.7,1.1,1.3,14.2,3.4
301,Kristaps Porzingis,DAL,Dallas Mavericks,Power Forward,27285000,24,45,24.2,16.8,4.2,6.8,0,0.2,0.8,1.4,3.3,6.6,9.9,1.7,0.6,1,1.1,18,3
302,Ky Bowman,GSW,Golden State Warriors,Point Guard,350189,22,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
303,Kyle Anderson,MEM,Memphis Grizzlies,Small Forward,9073050,26,63,23.9,6.7,3.7,9,1,3.5,0.9,1.9,1.1,2.3,3.4,1.7,0.9,0.6,1.3,8.2,1.7
304,Kyle Guy,SAC,Sacramento Kings,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Kyle Korver,MIL,Milwaukee Bucks,Shooting Guard,1620564,39,66,25.7,5.9,3.2,7.1,1.6,4.3,1,1.2,1.5,3.9,5.4,1.2,0.3,1.2,0.7,12.5,0.9
306,Kyle Kuzma,LAL,Los Angeles Lakers,Power Forward,1974600,24,56,22.6,11.1,3,7.2,2.1,5.1,1,1.3,0.3,1.6,1.9,1.9,0.7,0.1,1.1,8,1.8
307,Kyle Lowry,TOR,Toronto Raptors,Point Guard,34996296,34,58,28.2,20.7,3.4,7.7,0.6,1.7,1.5,2.1,1.1,3.7,4.7,4,1.1,0.5,1.7,12.6,2.9
308,Kyle O'Quinn,PHI,Philadelphia 76ers,Center,1620564,30,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
309,Kyrie Irving,BKN,Brooklyn Nets,Point Guard,31742000,28,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9
310,KZ Okpala,MIA,Miami Heat,Small Forward,898310,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,LaMarcus Aldridge,SAS,San Antonio Spurs,Power Forward,26000000,34,51,24.5,18.9,3.3,6.3,0.7,2.5,1.7,2.2,1.1,3.1,4.2,1.1,1.1,0.7,0.5,11.9,2.1
312,Landry Shamet,LAC,LA Clippers,Shooting Guard,1995120,23,57,22.4,9.1,2.9,8.8,1.3,4.6,1.7,2.1,0.2,1.9,2.1,2.4,0.6,0.2,1.3,6.4,3.1
313,Langston Galloway,DET,Detroit Pistons,Shooting Guard,7333333,28,65,21.5,12.6,3.2,8.1,1.1,3.4,1.2,1.4,0.4,1.9,2.3,1.5,0.4,0.2,0.9,7.1,1.2
314,Larry Nance Jr.,CLE,Cleveland Cavaliers,Power Forward,12727273,27,64,25.1,0,2.9,7.7,1.2,3.6,1.7,2.2,0.4,4,4.3,1.3,1.1,0.6,1.3,9.4,0
315,Lauri Markkanen,CHI,Chicago Bulls,Power Forward,5300400,23,65,27.3,13.6,3.2,6.3,0.9,2.4,1.4,1.6,0.9,3.1,4,1.8,1.4,0.6,1,12.2,1.9
316,LeBron James,LAL,Los Angeles Lakers,Small Forward,37436858,35,49,24.2,25.4,3.5,7.8,1.3,3.5,0.4,0.5,0.4,2,2.3,1.3,0.9,0.1,1,7.9,1.7
317,Lonnie Walker IV,SAS,San Antonio Spurs,Shooting Guard,2689920,21,62,25,0,2.7,6.4,0.7,2.5,2.5,3.1,1.4,2.9,4.3,1.6,1.1,0.4,1.4,10.3,0
318,Lonzo Ball,NOP,New Orleans Pelicans,Point Guard,8719320,22,51,18.8,10.9,3.4,8,1.2,3.1,0.6,0.8,0.6,1.8,2.4,1.4,0.5,0.2,0.7,7.5,1.9
319,Lou Williams,LAC,LA Clippers,Shooting Guard,8000000,33,60,23.4,21.1,3,7.2,1.4,3.9,1,1.5,0.4,2,2.4,1.6,0.7,0.2,0.6,8,1.5
320,Louis King,DET,Detroit Pistons,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Luguentz Dort,OKC,Oklahoma City Thunder,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Luka Doncic,DAL,Dallas Mavericks,Shooting Guard,7683360,21,65,21.6,30.3,3.4,7.4,0.8,2.2,0.8,1,0.3,1.4,1.7,3.5,0.8,0.2,0.7,9.9,2.4
323,Luka Samanic,SAS,San Antonio Spurs,Power Forward,2689920,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,Luke Kennard,DET,Detroit Pistons,Shooting Guard,3827160,23,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
325,Luke Kornet,CHI,Chicago Bulls,Center,2250000,24,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
326,Malcolm Brogdon,IND,Indiana Pacers,Point Guard,20000000,27,65,24.9,18.9,2.9,6.6,1.9,4.4,0.7,0.9,0.5,2.7,3.2,1.3,1.2,0.6,0.6,10.2,2.1
327,Malcolm Miller,TOR,Toronto Raptors,Shooting Guard,1588231,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Malik Beasley,MIN,Minnesota Timberwolves,Shooting Guard,2731714,23,49,18.3,6.5,3.4,6.2,0.3,1.1,1.2,1.9,1.9,4.1,6,1,0.4,0.9,1,12.2,1.2
329,Malik Monk,CHA,Charlotte Hornets,Shooting Guard,4028400,22,56,22,9.6,3.4,5.1,0,0,1.5,2.2,2.5,7.5,10,1.9,0.3,0.9,1.3,17.7,1.7
330,Malik Newman,CLE,Cleveland Cavaliers,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,Marc Gasol,TOR,Toronto Raptors,Center,25595700,35,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3
332,Marco Belinelli,SAS,San Antonio Spurs,Shooting Guard,5846154,34,61,25.1,5.2,2.9,7,1.9,4.9,0.5,0.7,0.7,2.7,3.4,1.4,1.2,0.5,0.9,9.6,0.8
333,Marcus Morris Sr.,LAC,LA Clippers,Small Forward,15000000,30,57,17.9,0,3.2,6.8,0.8,2.1,1.1,1.3,0.4,2,2.4,3.3,0.4,0.1,1.2,9.2,0
334,Marcus Smart,BOS,Boston Celtics,Point Guard,12553571,26,51,17.5,11.9,3.5,6.1,0,0.1,1.2,1.7,2.8,5,7.7,1,0.4,0.7,1,13.8,2.4
335,Marial Shayok,PHI,Philadelphia 76ers,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,Mario Hezonja,POR,Portland Trail Blazers,Small Forward,1737145,25,49,20.3,4.8,2.8,6.6,1.9,4.7,0.7,0.9,0.8,2.1,2.9,1.1,0.6,0.3,0.6,8.3,2.2
337,Markelle Fultz,ORL,Orlando Magic,Point Guard,9745200,22,52,19.4,12.1,2.8,6.8,0.7,2.3,1.7,2,0.7,3,3.7,3,1.3,0.3,1.5,10.6,2.1
338,Markieff Morris,LAL,Los Angeles Lakers,Power Forward,1750000,30,59,27.8,10.4,2.9,6.5,1.7,4.3,0.5,0.5,0.2,1.7,1.9,2.2,0.5,0.3,0.5,8.7,2.4
339,Marko Guduric,MEM,Memphis Grizzlies,Shooting Guard,2625000,25,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
340,Marques Bolden,CLE,Cleveland Cavaliers,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Marquese Chriss,GSW,Golden State Warriors,Center,654469,22,64,18.1,7.1,3.2,5.3,0,0,1.7,2.2,2.6,4.6,7.2,1.1,0.2,0.9,0.8,14,2
342,Marvin Bagley III,SAC,Sacramento Kings,Power Forward,8556120,21,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
343,Marvin Williams,MIL,Milwaukee Bucks,Power Forward,604278,33,53,28.2,7.9,2.7,6.1,1.5,3.9,1.2,1.4,0.6,4,4.6,1.7,1.3,0.3,1.1,11.2,1.7
344,Mason Plumlee,DEN,Denver Nuggets,Power Forward,14041096,30,48,27.1,7.1,2.9,6.8,1.6,4.1,0.6,0.9,1.2,4.2,5.4,3.7,1.1,0.5,1.3,13.2,2.8
345,Matisse Thybulle,PHI,Philadelphia 76ers,Shooting Guard,2582160,23,64,17,4.2,2.8,6.1,1.4,3.5,0.7,0.8,0.7,2.7,3.4,1.7,0.5,0.2,1,9.1,2.4
346,Matt Mooney,CLE,Cleveland Cavaliers,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,Matt Thomas,TOR,Toronto Raptors,Shooting Guard,898310,25,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
348,Matthew Dellavedova,CLE,Cleveland Cavaliers,Point Guard,9607500,29,55,18.4,0,3.2,4.6,0,0.1,1.4,1.8,1.5,3.4,4.9,1,1,1.5,1,13.3,0
349,Maurice Harkless,NYK,New York Knicks,Small Forward,11011234,27,59,18.5,5.5,2.6,5.4,1.4,3.1,1.2,1.4,0.6,3.8,4.4,1.6,0.6,0.3,1.1,10.6,3
350,Max Strus,CHI,Chicago Bulls,Shooting Guard,898310,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,Maxi Kleber,DAL,Dallas Mavericks,Power Forward,8000000,28,53,20,8.3,2.8,6.6,1.5,3.8,0.6,0.7,0.4,1.3,1.7,0.9,0.7,0.2,0.4,7,1.9
352,Melvin Frazier Jr.,ORL,Orlando Magic,Shooting Guard,1416852,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,Meyers Leonard,MIA,Miami Heat,Center,11286516,28,49,18.1,6.1,2.6,6,0.9,2.2,1.5,1.9,1.6,2.9,4.5,1,0.7,0.5,1.1,9.2,2.2
354,Mfiondu Kabengele,LAC,LA Clippers,Power Forward,1977000,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,Michael Carter-Williams,ORL,Orlando Magic,Point Guard,1620564,28,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
356,Michael Frazier,HOU,Houston Rockets,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,Michael Kidd-Gilchrist,DAL,Dallas Mavericks,Small Forward,595122,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,Michael Porter Jr.,DEN,Denver Nuggets,Power Forward,3389400,21,62,19.2,0,3,4.1,0,0.1,1.4,2.9,2.5,4.9,7.4,0.7,0.4,1.2,1.2,13.5,0
359,Mikal Bridges,PHX,Phoenix Suns,Small Forward,4161000,23,62,24.7,6.7,2.6,6.5,1.6,4.5,0.8,1,0.3,2.2,2.6,1.5,0.6,0.1,0.7,7.5,1.8
360,Mike Conley,UTA,Utah Jazz,Point Guard,32511624,32,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
361,Mike Muscala,OKC,Oklahoma City Thunder,Power Forward,2028594,28,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
362,Mike Scott,PHI,Philadelphia 76ers,Power Forward,4767000,31,56,17,5.6,2.8,4.2,0,0.1,1.9,3.1,1.5,2.5,4,0.9,0.4,0.9,0.7,10.4,1.6
363,Miles Bridges,CHA,Charlotte Hornets,Small Forward,3755400,22,48,14,12.6,2.9,5.9,0.9,2.1,0.7,0.9,1.1,3,4.1,0.7,0.4,0.4,0.7,9.2,2.1
364,Mitchell Robinson,NYK,New York Knicks,Center,1599712,22,65,19,8.5,3,6.6,0.7,1.9,0.7,0.9,0.1,1.4,1.6,4.4,0.9,0.1,0.8,9.8,3.8
365,Miye Oni,UTA,Utah Jazz,Shooting Guard,898310,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,Mo Bamba,ORL,Orlando Magic,Center,5697600,22,53,19.4,0,2.8,5.2,0,0,1.7,2.8,2.3,3.5,5.8,0.9,0.2,0.9,0.9,10.8,0
367,Monte Morris,DEN,Denver Nuggets,Point Guard,1588231,24,58,17.4,6.6,2.7,5.9,0.9,2.4,1.1,1.4,1.5,4.3,5.8,1.2,0.8,1,0.9,11.7,0.7
368,Montrezl Harrell,LAC,LA Clippers,Power Forward,6000000,26,51,24.9,19.1,3,6.7,0.6,2.2,0.8,1.1,0.5,3.2,3.6,3.4,2,0.3,1.3,11.3,2.2
369,Moritz Wagner,WAS,Washington Wizards,Small Forward,2063520,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,Moses Brown,POR,Portland Trail Blazers,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,Mychal Mulder,GSW,Golden State Warriors,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Myles Turner,IND,Indiana Pacers,Center,18000000,24,48,15.7,12.2,2.8,6,0.6,1.6,1.1,1.4,0.4,2,2.4,2.2,0.4,0.2,1.4,7.6,2.5
373,Nassir Little,POR,Portland Trail Blazers,Small Forward,2105520,20,65,21.7,4.4,2.8,5.9,0.7,1.8,1.1,1.4,1,3,4,3.4,1.2,0.3,1,11.7,2
374,Naz Mitrou-Long,IND,Indiana Pacers,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,Naz Reid,MIN,Minnesota Timberwolves,Center,898310,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Nemanja Bjelica,SAC,Sacramento Kings,Power Forward,6825000,32,54,20.3,10.8,3.2,5.6,0,0,0.7,1.2,1.6,4.3,5.8,1.3,0.9,1.1,0.7,12.8,2.9
377,Nerlens Noel,OKC,Oklahoma City Thunder,Center,1620564,26,52,19.2,7.6,2.7,5.7,0,0.3,1.8,2.5,2,2.9,4.9,1.7,0.8,0.4,0.9,10.5,2.9
378,Nickeil Alexander-Walker,NOP,New Orleans Pelicans,Shooting Guard,2964840,21,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
379,Nicolas Batum,CHA,Charlotte Hornets,Shooting Guard,25565217,31,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
380,Nicolas Claxton,BKN,Brooklyn Nets,Power Forward,898310,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
381,Nicolo Melli,NOP,New Orleans Pelicans,Power Forward,4102564,29,53,17,6.1,2.9,4.7,0,0.1,1.4,2.6,1.7,3.6,5.3,2.4,0.5,0.6,1.4,11.7,1.9
382,Nigel Williams-Goss,UTA,Utah Jazz,Point Guard,1500000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Nikola Jokic,DEN,Denver Nuggets,Center,27504630,25,64,34.4,15.4,2.5,5.8,1.5,4,0.6,0.7,1.6,5.3,6.9,1.6,1.1,0.5,1,12.7,3.3
384,Nikola Vucevic,ORL,Orlando Magic,Center,28000000,29,48,20.5,17.1,2.9,6.8,0.9,2.6,0.6,0.9,0.5,2.5,3,5,0.8,0,1.9,9.8,1.9
385,Noah Vonleh,DEN,Denver Nuggets,Power Forward,2000000,24,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
386,Norman Powell,TOR,Toronto Raptors,Shooting Guard,10116576,27,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
387,Norvel Pelle,PHI,Philadelphia 76ers,Small Forward,350189,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,OG Anunoby,TOR,Toronto Raptors,Small Forward,2281800,22,52,17.1,0,2.4,5.3,1.3,3.5,0.8,1.2,0.7,2.3,3,1.3,0.6,0.4,0.8,8,0
389,Omari Spellman,MIN,Minnesota Timberwolves,Power Forward,1897800,22,56,16,7.9,2.4,5.2,0.8,2.2,1.1,1.3,1.1,3.9,4.9,0.8,0.4,0.3,0.6,9.7,1.2
390,Oshae Brissett,TOR,Toronto Raptors,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,Otto Porter Jr.,CHI,Chicago Bulls,Small Forward,27250575,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,P.J. Tucker,HOU,Houston Rockets,Power Forward,8349039,35,61,16.8,9.8,3,4.6,0,0.1,0.8,1.2,1.8,4,5.8,0.6,0.5,1.5,0.8,12.3,3.2
393,P.J. Washington,CHA,Charlotte Hornets,,,21,50,16.7,11.7,2.2,5.2,1.7,4.1,0.6,0.7,0.3,1.8,2.1,1.2,0.4,0.2,0.8,6.8,2.7
394,Pascal Siakam,TOR,Toronto Raptors,Power Forward,2351839,26,48,17.4,25.1,2.5,6,1.2,3.4,0.5,0.7,0.2,1.7,1.9,1.2,0.5,0.1,0.4,6.1,2.9
395,Pat Connaughton,MIL,Milwaukee Bucks,Shooting Guard,1723050,27,63,19.3,5.6,2.2,5,0.5,1.4,1.7,1.8,0.3,1.7,2,2.5,0.8,0.2,1.1,7.9,1
396,Patrick Beverley,LAC,LA Clippers,Point Guard,12345680,31,63,18.9,7.5,3,5.7,0.1,0.2,0.5,0.6,0.5,2.1,2.6,5,0.7,0.2,1.4,10.7,3.8
397,Patrick McCaw,TOR,Toronto Raptors,Small Forward,4000000,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
398,Patrick Patterson,LAC,LA Clippers,Power Forward,1620564,31,55,20.5,5.2,2.3,5.5,1.3,3.7,0.6,0.8,1.4,5,6.3,0.8,0.5,0.4,0.8,10.1,0.8
399,Patty Mills,SAS,San Antonio Spurs,Point Guard,12428571,31,65,17.9,11,2.2,6.2,1,3.1,1,1.6,0.4,2.4,2.8,0.9,0.4,0.4,0.7,5.8,1.5
400,Paul George,LAC,LA Clippers,Shooting Guard,30560700,30,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
401,Paul Millsap,DEN,Denver Nuggets,Power Forward,30350000,35,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9
402,Paul Watson,TOR,Toronto Raptors,,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,PJ Dozier,DEN,Denver Nuggets,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Quinn Cook,LAL,Los Angeles Lakers,Point Guard,3000000,27,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
405,Quinndary Weatherspoon,SAS,San Antonio Spurs,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,Rajon Rondo,LAL,Los Angeles Lakers,Point Guard,2564753,34,63,20.2,8.8,2.4,5.4,1,2.7,0.5,0.7,1.1,4.6,5.7,1.1,0.4,0.4,0.6,10.3,1.1
407,Raul Neto,PHI,Philadelphia 76ers,Point Guard,1620564,28,64,24,0,2.4,5.8,0.7,2.1,0.8,0.9,0.6,2,2.5,3.4,0.7,0.3,1,8.8,0
408,Rayjon Tucker,UTA,Utah Jazz,Shooting Guard,578573,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,Reggie Bullock,NYK,New York Knicks,Small Forward,4000000,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Reggie Jackson,LAC,LA Clippers,Point Guard,512721,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
411,Richaun Holmes,SAC,Sacramento Kings,Center,4767000,26,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
412,Ricky Rubio,PHX,Phoenix Suns,Point Guard,16200000,29,55,13.2,12.6,2.2,4.7,0.5,1.8,1.5,1.9,1.7,2.7,4.4,0.4,0.4,1,0.4,9.1,2.8
413,RJ Barrett,NYK,New York Knicks,Shooting Guard,7839960,20,57,20.8,0,2.3,5.8,0.8,2.4,0.9,1,0.4,1.7,2.1,3,0.9,0.3,1.2,7.7,0
414,Robert Covington,HOU,Houston Rockets,Power Forward,11301219,29,64,29.1,12.6,2.2,5,1.3,3.3,0.6,0.8,0.3,5,5.3,2.5,0.7,0.4,0.8,11.5,2.9
415,Robert Williams III,BOS,Boston Celtics,Center,1937520,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Robin Lopez,MIL,Milwaukee Bucks,Center,4767000,32,52,19.4,5.1,2.1,4.8,1,2.8,0.9,1,0.4,2.5,2.8,1.1,0.7,0.5,0.5,7.9,1.8
417,Rodions Kurucs,BKN,Brooklyn Nets,Small Forward,1699236,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Rodney Hood,POR,Portland Trail Blazers,Small Forward,5718000,27,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
419,Rodney McGruder,LAC,LA Clippers,Shooting Guard,4807693,28,49,20.1,4,2.4,4.6,1,2.4,0.3,0.5,0.6,4.5,5.1,1.1,0.3,0.3,0.7,9.8,1.7
420,Romeo Langford,BOS,Boston Celtics,Shooting Guard,3458400,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,Rondae Hollis-Jefferson,TOR,Toronto Raptors,Small Forward,2500000,25,62,16.5,9.4,2.7,4.6,0.1,0.2,0.7,0.9,1.8,2.5,4.3,0.8,0.4,0.5,0.8,9.3,1.9
422,Royce O'Neale,UTA,Utah Jazz,Small Forward,1618520,27,61,17.3,5.7,2.1,4.8,0.8,2.3,1,1.3,1,2.3,3.3,0.9,0.5,0.3,0.7,7.3,3
423,Rudy Gay,SAS,San Antonio Spurs,Small Forward,14500000,33,48,17.4,11.4,2.1,5.1,0.9,2.7,0.9,1.5,0.9,3.2,4.1,0.8,0.4,0.2,0.7,7.2,1.5
424,Rudy Gobert,UTA,Utah Jazz,Center,23241573,27,48,15.8,13.9,2.1,4.6,0.8,2.2,1,1.3,0.3,1.6,1.9,0.7,0.4,0.4,0.8,5.9,3.1
425,Rui Hachimura,WAS,Washington Wizards,Power Forward,4469160,22,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
426,Russell Westbrook,HOU,Houston Rockets,Point Guard,38506482,31,58,13.3,21.9,2.1,4.6,1.3,3.2,0.3,0.4,0.2,1.7,1.9,0.6,0.2,0.1,0.4,5.6,4.1
