ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
18,Andre Drummond,CLE,Cleveland Cavaliers,Center,27093019,26,51,32.2,17.3,9.3,19.9,2.1,5.7,6.1,6.9,1,6.3,7.3,5,1.8,0.6,2.7,27.5,3.8
19,Andre Iguodala,MIA,Miami Heat,Shooting Guard,17185185,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Andrew Wiggins,GSW,Golden State Warriors,Small Forward,27504630,25,55,34.3,24.9,9.2,18.1,1.2,3.5,7,8.3,2.3,7.1,9.4,3.1,1.5,2.4,2.5,30.5,2.4
21,Anfernee Simons,POR,Portland Trail Blazers,Shooting Guard,2149560,21,62,36.1,10,8.8,18,2,5.6,6.5,7.1,0.4,3.7,4.2,6.6,0.7,0.3,3.9,24,2
22,Ante Zizic,CLE,Cleveland Cavaliers,Center,2281800,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Anthony Davis,LAL,Los Angeles Lakers,Power Forward,27093018,27,60,34.9,26,9.8,19.6,2.2,6.4,4,5.7,1,6.9,7.9,10.6,1.2,0.5,4,30.4,2.4
24,Anthony Tolliver,MEM,Memphis Grizzlies,Forward,1620564,35,60,34.8,3.5,9,20,3.1,8.1,4.5,5.6,0.7,4.1,4.8,4.2,1.5,0.5,3.4,21,1.3
25,Antonius Cleveland,DAL,Dallas Mavericks,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Anzejs Pasecniks,WAS,Washington Wizards,Center,482144,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Aron Baynes,PHX,Phoenix Suns,Center,5453280,33,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9
28,Austin Rivers,HOU,Houston Rockets,Point Guard,2147317,27,56,34.3,8.4,8.4,18,2.4,6.3,5.1,5.9,0.9,5.4,6.3,4.3,1,0.7,3.1,22.9,1.9
29,Avery Bradley,LAL,Los Angeles Lakers,Point Guard,4767000,29,63,34.4,9.6,8.9,19.6,2.5,6.8,4,4.6,0.7,3.7,4.4,4.2,1,0.2,2.7,20,2.6
30,Bam Adebayo,MIA,Miami Heat,Power Forward,3454080,22,53,35.5,13.9,8.7,18.9,2.2,6,4.2,5.2,1.1,6.5,7.5,3.6,1,0.9,2.5,23,2.5
31,Ben McLemore,HOU,Houston Rockets,Small Forward,2028594,27,59,34.6,8.3,8.5,18.9,2.8,7.1,3.8,4.7,1,6.1,7.1,2.9,1.4,0.9,2.2,22.3,1.9
32,Ben Simmons,PHI,Philadelphia 76ers,Point Guard,8113930,23,45,32.3,13,8,18.8,3.5,9.6,3.6,4.4,0.4,3.6,3.9,6.3,1.1,0.3,3.3,19.8,3.4
