PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LATITUDE,LONGITUDE
Single Family Residential,Corona,Arlington,TX,76005,597900,3,3.5,Viridian - 65',4260,,,,140,,http://www.redfin.com/TX/Arlington/Viridian-65/Corona/home/169871067,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Marbella,Arlington,TX,76005,554900,3,3,Viridian - 65',2541,,,,218,,http://www.redfin.com/TX/Arlington/Viridian-65/Marbella/home/169961895,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Seneca II,Arlington,TX,76005,616900,4,4,Viridian - 65',3566,,,,173,,http://www.redfin.com/TX/Arlington/Viridian-65/Seneca-II/home/169871071,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Valencia II,Arlington,TX,76005,578900,3,3,Viridian - 65',2991,,,,194,,http://www.redfin.com/TX/Arlington/Viridian-65/Valencia-II/home/169871068,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Violet,Arlington,TX,76005,590900,4,4,Viridian - 65',3406,,,,173,,http://www.redfin.com/TX/Arlington/Viridian-65/Violet/home/169961889,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Bracken III,Arlington,TX,76005,695900,4,4,Viridian - 75',4108,,,,169,,http://www.redfin.com/TX/Arlington/Viridian-75/Bracken-III/home/169961899,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Brinkley,Arlington,TX,76005,751900,4,4.5,Viridian - 75',4210,,,,179,,http://www.redfin.com/TX/Arlington/Viridian-75/Brinkley/home/169961898,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Grantley,Arlington,TX,76005,716900,4,4.5,Viridian - 75',4896,,,,146,,http://www.redfin.com/TX/Arlington/Viridian-75/Grantley/home/169961891,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Kentshire,Arlington,TX,76005,642900,3,3,Viridian - 75',2867,,,,224,,http://www.redfin.com/TX/Arlington/Viridian-75/Kentshire/home/169961890,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Lorenzo III,Arlington,TX,76005,610900,3,3,Viridian - 75',2687,,,,227,,http://www.redfin.com/TX/Arlington/Viridian-75/Lorenzo-III/home/169961896,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Oakley II,Arlington,TX,76005,721900,5,4.5,Viridian - 75',4302,,,,168,,http://www.redfin.com/TX/Arlington/Viridian-75/Oakley-II/home/169961893,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Cottonwood,Arlington,TX,76005,485990,3,3.5,Viridian Executive Series,2736,,,,178,,http://www.redfin.com/TX/Arlington/Viridian-Executive-Series/Cottonwood/home/169879737,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Plan 247H,Arlington,TX,76005,614990,4,3,Viridian: 60ft. lots,3449,,,,178,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-247H/home/169920559,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,London,Arlington,TX,76005,455990,3,2.5,Viridian Executive Series,2527,,,,180,,http://www.redfin.com/TX/Arlington/Viridian-Executive-Series/London/home/169966685,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Boxwood,Arlington,TX,76001,391990,5,4.5,Mayfield Farms 60s,3723,,,,105,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-60s/Boxwood/home/171557495,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Plan 303,Arlington,TX,76005,415990,3,2.5,Viridian: 40ft. lots,2227,,,,187,,http://www.redfin.com/TX/Arlington/Viridian-40ft-lots/Plan-303/home/169931356,NewHomeSource.com,32.795013,-97.078578
Single Family Residential,Eagle Lake,Arlington,TX,76005,441990,4,2.5,Viridian Executive Series,2302,,,,192,,http://www.redfin.com/TX/Arlington/Viridian-Executive-Series/Eagle-Lake/home/169894780,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Hemlock,Arlington,TX,76001,365990,3,2.5,Mayfield Farms 60s,2795,,,,131,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-60s/Hemlock/home/171557496,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Murray,Arlington,TX,76002,390900,4,2.5,Mayfield Farms,3048,,,,128,,http://www.redfin.com/TX/Arlington/Mayfield-Farms/Murray/home/171983205,NewHomeSource.com,32.627165,-97.100941
Single Family Residential,Donna,Arlington,TX,76005,435990,3,3,Viridian Executive Series,2187,,,,199,,http://www.redfin.com/TX/Arlington/Viridian-Executive-Series/Donna/home/169966686,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Axlewood,Arlington,TX,76001,381990,4,3.5,Mayfield Farms 60s,3481,,,,110,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-60s/Axlewood/home/171557497,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Monterey,Arlington,TX,76002,311900,3,2,Will's Place,1757,,,,178,,http://www.redfin.com/TX/Arlington/Will-s-Place/Monterey/home/172635506,NewHomeSource.com,32.635611,-97.102391
Single Family Residential,Brookstone I,Arlington,TX,76002,336900,3,2,Mayfield Farms,2163,,,,156,,http://www.redfin.com/TX/Arlington/Mayfield-Farms/Brookstone-I/home/171983206,NewHomeSource.com,32.627165,-97.100941
Single Family Residential,Plan 310,Arlington,TX,76005,431990,4,3,Viridian: 40ft. lots,2575,,,,168,,http://www.redfin.com/TX/Arlington/Viridian-40ft-lots/Plan-310/home/169911577,NewHomeSource.com,32.795013,-97.078578
Single Family Residential,Taylor,Arlington,TX,76005,421990,3,2.5,Viridian Executive Series,2070,,,,204,,http://www.redfin.com/TX/Arlington/Viridian-Executive-Series/Taylor/home/169966683,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Hawthorn,Arlington,TX,76001,364990,4,3,Mayfield Farms 60s,2888,,,,126,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-60s/Hawthorn/home/170461091,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Brimstone,Arlington,TX,76002,333900,3,2,Mayfield Farms,2061,,,,162,,http://www.redfin.com/TX/Arlington/Mayfield-Farms/Brimstone/home/171983207,NewHomeSource.com,32.627165,-97.100941
Single Family Residential,Plan 200,Arlington,TX,76005,576990,4,3,Viridian: 60ft. lots,2976,,,,194,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-200/home/169902433,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,Monroe,Arlington,TX,76001,361990,3,2,Mayfield Farms 60s,2726,,,,133,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-60s/Monroe/home/170461094,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Murray,Arlington,TX,76002,378900,4,2.5,Edgefield,3048,,,,124,,http://www.redfin.com/TX/Arlington/Edgefield/Murray/home/170031086,NewHomeSource.com,32.607707,-97.091635
Single Family Residential,Silverstone,Arlington,TX,76002,424900,3,2.5,Lynn Creek,3290,,,,129,,http://www.redfin.com/TX/Arlington/Lynn-Creek/Silverstone/home/170184336,NewHomeSource.com,32.6339,-97.0894
Single Family Residential,Ashstone,Arlington,TX,76002,335900,3,2,Mayfield Farms,2134,,,,157,,http://www.redfin.com/TX/Arlington/Mayfield-Farms/Ashstone/home/171983208,NewHomeSource.com,32.627165,-97.100941
Single Family Residential,Gallagher,Arlington,TX,76005,475990,5,3,Viridian Executive,3238,,,,147,,http://www.redfin.com/TX/Arlington/Viridian-Executive/Gallagher/home/169873413,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Cypress,Arlington,TX,76001,367990,4,2.5,Mayfield Farms 60s,3052,,,,121,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-60s/Cypress/home/170461095,NewHomeSource.com,32.6282833,-97.1547052
