BroadCat,SubCat,Occupation title (click on the occupation title to view its profile),Level,Employment,"Employment per 1,000 jobs",Mean hourly wage,Annual mean wage
25,1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad,260960,1.8,4.02,80670
43,4081,"Hotel, Motel, and Resort Desk Clerks",detail,260780,1.8,12.08,25130
29,2041,Emergency Medical Technicians and Paramedics,detail,257210,1.8,18.15,37760
51,3090,Miscellaneous Food Processing Workers,broad,256100,1.8,15.07,31340
37,1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,broad,255580,1.8,22.3,46380
25,1070,"Health Teachers, Postsecondary",broad,255190,1.8,5.65,113370
41,2022,Parts Salespersons,detail,254870,1.8,16.39,34080
43,3011,Bill and Account Collectors,detail,251330,1.7,18.38,38220
51,5110,Printing Workers,broad,249140,1.7,18.39,38260
41,1012,First-Line Supervisors of Non-Retail Sales Workers,detail,247570,1.7,40.67,84600
49,2020,Radio and Telecommunications Equipment Installers and Repairers,broad,243820,1.7,27.42,57030
25,3021,Self-Enrichment Education Teachers,detail,243080,1.7,21.62,44960
44501,,Marketing Managers,detail,240440,1.7,70.79,147240
27,3031,Public Relations Specialists,detail,239030,1.7,32.9,68440
27,2022,Coaches and Scouts,detail,236970,1.6,2.18,43870
49,2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,236690,1.6,26.23,54570
47,3010,"Helpers, Construction Trades",broad,233580,1.6,15.82,32900
49,9050,Line Installers and Repairers,broad,233010,1.6,31.03,64540
47,2140,Painters and Paperhangers,broad,231200,1.6,20.69,43030
51,9199,"Production Workers, All Other",detail,230760,1.6,16.58,34490
15,1131,Computer Programmers,detail,230470,1.6,43.07,89580
49,2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detail,229890,1.6,27.44,57080
39,1021,First-Line Supervisors of Personal Service Workers,detail,228620,1.6,20.05,41710
29,1123,Physical Therapists,detail,228600,1.6,42.73,88880
47,2141,"Painters, Construction and Maintenance",detail,228420,1.6,20.7,43050
43,9020,Data Entry and Information Processing Workers,broad,228060,1.6,17.05,35470
43,4131,Loan Interviewers and Clerks,detail,222620,1.5,19.86,41310
2612155,,Food Service Managers,detail,219160,1.5,28.35,58960
27,1024,Graphic Designers,detail,217810,1.5,26.29,54680
29,2021,Dental Hygienists,detail,215150,1.5,36.3,75500
51,6011,Laundry and Dry-Cleaning Workers,detail,213350,1.5,11.77,24480
13,1051,Cost Estimators,detail,211600,1.5,33.52,69710
29,2071,Medical Records and Health Information Technicians,detail,208650,1.4,21.16,44010
53,3041,Taxi Drivers and Chauffeurs,detail,207920,1.4,13.68,28450
29,2034,Radiologic Technologists,detail,205590,1.4,29.59,61540
2645027,,"Property, Real Estate, and Community Association Managers",detail,202550,1.4,34.49,71730
13,2052,Personal Financial Advisors,detail,200260,1.4,58.54,121770
39,2021,Nonfarm Animal Caretakers,detail,199850,1.4,12.45,25890
43,5032,"Dispatchers, Except Police, Fire, and Ambulance",detail,199880,1.4,20.64,42940
25,1071,"Health Specialties Teachers, Postsecondary",detail,199480,1.4,6.09,122320
49,3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad,199280,1.4,24.89,51780
41,9020,Real Estate Brokers and Sales Agents,broad,197080,1.4,31.37,65240
43,9199,"Office and Administrative Support Workers, All Other",detail,196570,1.4,18.02,37480
11,1011,Chief Executives,detail,195530,1.4,96.22,200140
17,3010,Drafters,broad,193260,1.3,27.97,58180
43,4111,"Interviewers, Except Eligibility and Loan",detail,192820,1.3,17.08,35520
27,3040,Writers and Editors,broad,191320,1.3,34.58,71920
51,9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad,190770,1.3,18.25,37960
47,2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",broad,189130,1.3,22.76,47340
2608503,,Architectural and Engineering Managers,detail,188290,1.3,71.62,148970
51,4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detail,186640,1.3,17.4,36180
17,2071,Electrical Engineers,detail,186490,1.3,48.85,101600
47,2051,Cement Masons and Concrete Finishers,detail,186400,1.3,22.76,47350
25,2052,"Special Education Teachers, Kindergarten and Elementary School",detail,185190,1.3,3.14,63110
25,1199,"Postsecondary Teachers, All Other",detail,183750,1.3,3.83,76990
15,1152,Computer Network Support Specialists,detail,181360,1.3,32.72,68050
420700,,Industrial Production Managers,detail,181310,1.3,54.51,113370
51,3011,Bakers,detail,180010,1.2,13.78,28660
51,4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,179710,1.2,16.44,34200
29,1171,Nurse Practitioners,detail,179650,1.2,52.9,110030
39,5090,Miscellaneous Personal Appearance Workers,broad,177770,1.2,14.13,29380
43,6012,Legal Secretaries,detail,176880,1.2,24.06,50040
43,9021,Data Entry Keyers,detail,174930,1.2,16.22,33740
53,3021,"Bus Drivers, Transit and Intercity",detail,174110,1.2,21.47,44650
51,5112,Printing Press Operators,detail,173470,1.2,18.49,38470
51,4010,Computer Control Programmers and Operators,broad,171920,1.2,21.13,43940
13,1081,Logisticians,detail,169820,1.2,37.85,78730
21,1022,Healthcare Social Workers,detail,168190,1.2,28.11,58470
27,2010,"Actors, Producers, and Directors",broad,166060,1.1,39.24,81610
41,9041,Telemarketers,detail,164160,1.1,13.72,28550
51,4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detail,164110,1.1,16.32,33950
25,9031,Instructional Coordinators,detail,163900,1.1,32.45,67490
33,1010,First-Line Supervisors of Law Enforcement Workers,broad,160410,1.1,41.51,86350
51,3092,Food Batchmakers,detail,160160,1.1,15.43,32090
43,4151,Order Clerks,detail,159210,1.1,17.21,35790
49,9099,"Installation, Maintenance, and Repair Workers, All Other",detail,157030,1.1,20.7,43050
41,9022,Real Estate Sales Agents,detail,156760,1.1,29.67,61720
51,3022,"Meat, Poultry, and Fish Cutters and Trimmers",detail,156440,1.1,13.36,27790
51,9120,Painting Workers,broad,156470,1.1,19.16,39850
35,2015,"Cooks, Short Order",detail,155840,1.1,12.09,25140
43,4199,"Information and Record Clerks, All Other",detail,155220,1.1,20.15,41900
37,1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detail,154180,1.1,20.75,43150
15,1143,Computer Network Architects,detail,152670,1.1,53.43,111130
2648679,,Social and Community Service Managers,detail,149870,1.0,34.46,71670
47,4051,Highway Maintenance Workers,detail,149260,1.0,19.92,41440
51,4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",detail,148150,1.0,20.17,41960
29,1127,Speech-Language Pathologists,detail,146900,1.0,38.8,80700
53,6021,Parking Lot Attendants,detail,145900,1.0,12.08,25130
33,9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detail,144370,1.0,11.74,24420
43,3051,Payroll and Timekeeping Clerks,detail,144030,1.0,22.17,46110
19,4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,144010,1.0,24.38,50720
446267,,Human Resources Managers,detail,143580,1.0,60.91,126700
2605581,,"Education Administrators, Postsecondary",detail,143430,1.0,53.47,111210
25,2054,"Special Education Teachers, Secondary School",detail,142360,1.0,3.25,65320
43,4031,"Court, Municipal, and License Clerks",detail,142350,1.0,19.76,41100
49,3021,Automotive Body and Related Repairers,detail,142060,1.0,22.34,46460
17,2199,"Engineers, All Other",detail,142030,1.0,47.8,99410
33,9099,"Protective Service Workers, All Other",detail,141790,1.0,16.66,34650
29,2090,Miscellaneous Health Technologists and Technicians,broad,141790,1.0,23.82,49540
31,2020,Physical Therapist Assistants and Aides,broad,141510,1.0,23.07,47980
49,3042,"Mobile Heavy Equipment Mechanics, Except Engines",detail,140260,1.0,25.66,53370
49,3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad,139370,1.0,14.8,30780
43,4061,"Eligibility Interviewers, Government Programs",detail,137830,1.0,22.34,46480
51,6031,Sewing Machine Operators,detail,136450,0.9,12.98,26990
17,2072,"Electronics Engineers, Except Computer",detail,134110,0.9,51.89,107930
39,3031,"Ushers, Lobby Attendants, and Ticket Takers",detail,133970,0.9,11.35,23610
51,4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,133840,0.9,18.03,37510
51,3021,Butchers and Meat Cutters,detail,133670,0.9,15.97,33210
41,3011,Advertising Sales Agents,detail,133110,0.9,30.46,63360
51,9010,"Chemical Processing Machine Setters, Operators, and Tenders",broad,132660,0.9,23.3,48470
43,4181,Reservation and Transportation Ticket Agents and Travel Clerks,detail,132050,0.9,20.06,41730
49,3011,Aircraft Mechanics and Service Technicians,detail,131690,0.9,31.36,65230
47,2211,Sheet Metal Workers,detail,131570,0.9,25.34,52710
25,1191,Graduate Teaching Assistants,detail,131490,0.9,1.81,36390
51,7040,"Woodworking Machine Setters, Operators, and Tenders",broad,131240,0.9,14.98,31150
25,2012,"Kindergarten Teachers, Except Special Education",detail,131160,0.9,2.91,58370
29,1126,Respiratory Therapists,detail,129600,0.9,30.05,62500
27,1026,Merchandise Displayers and Window Trimmers,detail,128960,0.9,15.31,31850
13,2099,"Financial Specialists, All Other",detail,128760,0.9,37.3,77580
51,9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detail,128600,0.9,18.92,39360
47,2181,Roofers,detail,128680,0.9,21.09,43870
35,1011,Chefs and Head Cooks,detail,128600,0.9,25.08,52160
29,1020,Dentists,broad,128060,0.9,86.82,180590
15,1134,Web Developers,detail,127300,0.9,36.34,75580
19,1040,Medical Scientists,broad,127380,0.9,45.8,95270
17,3023,Electrical and Electronics Engineering Technicians,detail,126950,0.9,31.27,65050
29,1122,Occupational Therapists,detail,126900,0.9,41.04,85350
25,4021,Librarians,detail,125750,0.9,29.58,61530
31,9097,Phlebotomists,detail,125280,0.9,17.1,35560
29,2099,"Health Technologists and Technicians, All Other",detail,125270,0.9,22.81,47450
19,3030,Psychologists,broad,124750,0.9,41.63,86600
428005,,"Transportation, Storage, and Distribution Managers",detail,124810,0.9,49.45,102850
43,4161,"Human Resources Assistants, Except Payroll and Timekeeping",detail,124600,0.9,20.01,41620
51,8031,Water and Wastewater Treatment Plant and System Operators,detail,123650,0.9,23.79,49490
17,1010,"Architects, Except Naval",broad,123020,0.9,41.58,86480
13,2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,122640,0.8,25.45,52930
27,4010,Broadcast and Sound Engineering Technicians and Radio Operators,broad,121890,0.8,24.02,49960
53,2010,Aircraft Pilots and Flight Engineers,broad,120760,0.8,7.30,146660
51,4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",broad,120630,0.8,18.35,38170
47,2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",broad,120220,0.8,24.24,50420
19,1042,"Medical Scientists, Except Epidemiologists",detail,120320,0.8,46.36,96420
53,2031,Flight Attendants,detail,118770,0.8,2.82,56630
27,2012,Producers and Directors,detail,118630,0.8,43.19,89840
53,7081,Refuse and Recyclable Material Collectors,detail,118520,0.8,19.5,40560
49,9052,Telecommunications Line Installers and Repairers,detail,118200,0.8,28.36,59000
25,1060,"Social Sciences Teachers, Postsecondary",broad,117510,0.8,4.60,92440
21,1023,Mental Health and Substance Abuse Social Workers,detail,116750,0.8,23.86,49630
33,1012,First-Line Supervisors of Police and Detectives,detail,116660,0.8,44.76,93100
19,2040,Environmental Scientists and Geoscientists,broad,116020,0.8,41.1,85480
49,9051,Electrical Power-Line Installers and Repairers,detail,114800,0.8,33.77,70240
29,1071,Physician Assistants,detail,114710,0.8,52.13,108430
29,1062,Family and General Practitioners,detail,114130,0.8,101.82,211780
53,6031,Automotive and Watercraft Service Attendants,detail,113760,0.8,12.47,25940
39,3010,Gaming Services Workers,broad,113640,0.8,11.65,24240
29,1021,"Dentists, General",detail,113000,0.8,84.54,175840
49,3093,Tire Repairers and Changers,detail,111620,0.8,14.2,29530
25,1194,"Vocational Education Teachers, Postsecondary",detail,110400,0.8,28.14,58520
19,3031,"Clinical, Counseling, and School Psychologists",detail,110490,0.8,41.03,85340
39,5092,Manicurists and Pedicurists,detail,110170,0.8,12.43,25860
29,2055,Surgical Technologists,detail,110160,0.8,23.58,49040
13,1121,"Meeting, Convention, and Event Planners",detail,110120,0.8,25.83,53730
15,1141,Database Administrators,detail,110090,0.8,44.25,92030
43,4071,File Clerks,detail,110020,0.8,16.25,33810
23,2090,Miscellaneous Legal Support Workers,broad,109820,0.8,29.19,60710
