BroadCat,SubCat,Occupation title (click on the occupation title to view its profile),Level,Employment,"Employment per 1,000 jobs",Mean hourly wage,Annual mean wage
47,2171,Reinforcing Iron and Rebar Workers,detail,18360,0.1,26.28,54670
47,2082,Tapers,detail,18320,0.1,27.57,57340
47,5021,"Earth Drillers, Except Oil and Gas",detail,18270,0.1,22.87,47570
29,1124,Radiation Therapists,detail,18260,0.1,41.7,86730
51,6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detail,18130,0.1,17.07,35500
29,9012,Occupational Health and Safety Technicians,detail,18020,0.1,26.57,55270
47,5012,"Rotary Drill Operators, Oil and Gas",detail,18010,0.1,27.28,56740
19,1023,Zoologists and Wildlife Biologists,detail,17860,0.1,32.58,67760
25,1069,"Social Sciences Teachers, Postsecondary, All Other",detail,17670,0.1,4.38,87950
39,3093,"Locker Room, Coatroom, and Dressing Room Attendants",detail,17610,0.1,12.84,26720
51,9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detail,17630,0.1,15.91,33090
51,9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detail,17730,0.1,19.52,40610
51,4051,Metal-Refining Furnace Operators and Tenders,detail,17670,0.1,20.1,41810
19,2012,Physicists,detail,17620,0.1,60.23,125280
17,3025,Environmental Engineering Technicians,detail,17310,0.1,26.34,54800
19,2099,"Physical Scientists, All Other",detail,17380,0.1,52.93,110090
51,7021,Furniture Finishers,detail,17250,0.1,16.27,33850
25,1112,"Law Teachers, Postsecondary",detail,16990,0.1,6.51,130710
49,9094,Locksmiths and Safe Repairers,detail,16970,0.1,21.03,43740
51,9151,Photographic Process Workers and Processing Machine Operators,detail,16680,0.1,16.78,34910
25,1193,"Recreation and Fitness Studies Teachers, Postsecondary",detail,16490,0.1,3.60,72190
51,9191,Adhesive Bonding Machine Operators and Tenders,detail,16310,0.1,17.23,35850
23,1012,Judicial Law Clerks,detail,16350,0.1,28.63,59540
43,3041,Gaming Cage Workers,detail,16020,0.1,13.93,28980
25,1065,"Political Science Teachers, Postsecondary",detail,15890,0.1,4.95,99480
47,5081,Helpers--Extraction Workers,detail,15930,0.1,18.1,37660
19,4092,Forensic Science Technicians,detail,15970,0.1,30.05,62490
17,2161,Nuclear Engineers,detail,15980,0.1,53.26,110790
49,2092,"Electric Motor, Power Tool, and Related Repairers",detail,15800,0.1,22,45770
51,4071,Foundry Mold and Coremakers,detail,15600,0.1,17.7,36820
49,3092,Recreational Vehicle Service Technicians,detail,15560,0.1,19.28,40090
442614,,Compensation and Benefits Managers,detail,15660,0.1,63.87,132860
53,3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detail,15380,0.1,13.95,29010
51,6099,"Textile, Apparel, and Furnishings Workers, All Other",detail,15360,0.1,14.94,31070
13,1032,"Insurance Appraisers, Auto Damage",detail,15200,0.1,31.5,65510
49,3052,Motorcycle Mechanics,detail,15090,0.1,18.87,39260
19,4041,Geological and Petroleum Technicians,detail,15060,0.1,30.23,62890
19,1013,Soil and Plant Scientists,detail,15010,0.1,33.96,70630
25,1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detail,14890,0.1,3.61,72390
39,2011,Animal Trainers,detail,14830,0.1,16.95,35260
27,2030,Dancers and Choreographers,broad,14810,0.1,22.44,46670
47,5041,Continuous Mining Machine Operators,detail,14710,0.1,26.19,54470
13,1011,"Agents and Business Managers of Artists, Performers, and Athletes",detail,14830,0.1,43.72,90930
51,9082,Medical Appliance Technicians,detail,14670,0.1,20.28,42180
17,3019,"Drafters, All Other",detail,14580,0.1,26.08,54240
33,2020,Fire Inspectors,broad,14660,0.1,29.82,62030
51,8092,Gas Plant Operators,detail,14620,0.1,34.36,71470
37,3019,"Grounds Maintenance Workers, All Other",detail,14470,0.1,17.17,35710
47,4061,Rail-Track Laying and Maintenance Equipment Operators,detail,14410,0.1,27.46,57120
23,2091,Court Reporters,detail,14490,0.1,30,62390
53,4021,"Railroad Brake, Signal, and Switch Operators",detail,14270,0.1,28.31,58890
23,1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detail,14280,0.1,48.66,101210
47,2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detail,14050,0.1,22.48,46760
25,1067,"Sociology Teachers, Postsecondary",detail,13870,0.1,4.15,83310
49,2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detail,13930,0.1,27.09,56340
47,2011,Boilermakers,detail,13870,0.1,30.41,63240
25,1054,"Physics Teachers, Postsecondary",detail,13730,0.1,5.17,103830
39,5093,Shampooers,detail,13720,0.1,10.65,22160
27,2099,"Entertainers and Performers, Sports and Related Workers, All Other",detail,13740,0.1,21.53,-4
2641374,,Postmasters and Mail Superintendents,detail,13770,0.1,37.04,77040
37,2019,"Building Cleaning Workers, All Other",detail,13650,0.1,15.73,32710
27,4014,Sound Engineering Technicians,detail,13510,0.1,30.53,63500
17,3024,Electro-Mechanical Technicians,detail,13520,0.1,28.96,60240
19,3039,"Psychologists, All Other",detail,13480,0.1,45.97,95610
51,6062,"Textile Cutting Machine Setters, Operators, and Tenders",detail,13310,0.1,14.16,29440
53,7073,Wellhead Pumpers,detail,13280,0.1,25.9,53870
19,1012,Food Scientists and Technologists,detail,13330,0.1,34.89,72570
29,1181,Audiologists,detail,13300,0.1,39.52,82210
25,4013,Museum Technicians and Conservators,detail,13100,0.1,22.53,46870
45,2011,Agricultural Inspectors,detail,13240,0.1,22.1,45970
25,1063,"Economics Teachers, Postsecondary",detail,12750,0.1,5.84,117180
25,1113,"Social Work Teachers, Postsecondary",detail,12620,0.1,3.86,77520
33,2021,Fire Inspectors and Investigators,detail,12530,0.1,30.84,64140
51,6040,Shoe and Leather Workers,broad,12450,0.1,14.37,29900
47,2022,Stonemasons,detail,12310,0.1,21.33,44370
25,4012,Curators,detail,12280,0.1,28.12,58490
51,8099,"Plant and System Operators, All Other",detail,12270,0.1,28.03,58300
49,3091,Bicycle Repairers,detail,12200,0.1,14.56,30290
51,9123,"Painting, Coating, and Decorating Workers",detail,12200,0.1,16.33,33960
51,2021,"Coil Winders, Tapers, and Finishers",detail,12190,0.1,17.6,36610
27,2041,Music Directors and Composers,detail,12160,0.1,28.75,59790
25,2023,"Career/Technical Education Teachers, Middle School",detail,11940,0.1,3.12,62570
33,9011,Animal Control Workers,detail,12080,0.1,18.51,38490
29,1129,"Therapists, All Other",detail,11950,0.1,27.73,57680
19,3022,Survey Researchers,detail,11690,0.1,30.4,63240
49,2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detail,11680,0.1,29.55,61460
27,1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detail,11620,0.1,28.06,58370
51,8012,Power Distributors and Dispatchers,detail,11620,0.1,41.03,85340
51,4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,11400,0.1,19.95,41490
47,5011,"Derrick Operators, Oil and Gas",detail,11310,0.1,22.9,47630
17,2121,Marine Engineers and Naval Architects,detail,11350,0.1,47.58,98970
39,3012,Gaming and Sports Book Writers and Runners,detail,11150,0.1,13.29,27640
25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detail,11020,0.1,5.07,101890
43,9111,Statistical Assistants,detail,11010,0.1,24.09,50110
49,9069,"Precision Instrument and Equipment Repairers, All Other",detail,10930,0.1,27.91,58060
17,1021,Cartographers and Photogrammetrists,detail,11050,0.1,32.86,68340
25,1041,"Agricultural Sciences Teachers, Postsecondary",detail,10810,0.1,4.53,90890
27,2021,Athletes and Sports Competitors,detail,10800,0.1,4.33,87030
49,2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detail,10880,0.1,17.67,36750
53,7072,"Pump Operators, Except Wellhead Pumpers",detail,10820,0.1,22.84,47510
43,9031,Desktop Publishers,detail,10740,0.1,22.47,46750
51,9031,"Cutters and Trimmers, Hand",detail,10580,0.1,15.19,31600
47,3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detail,10600,0.1,15.25,31720
27,1027,Set and Exhibit Designers,detail,10590,0.1,29.34,61020
33,9031,Gaming Surveillance Officers and Gaming Investigators,detail,10230,0.1,17.41,36200
17,3021,Aerospace Engineering and Operations Technicians,detail,10110,0.1,33.16,68970
39,3019,"Gaming Service Workers, All Other",detail,9950,0.1,15.03,31260
53,2022,Airfield Operations Specialists,detail,9960,0.1,27.29,56760
25,1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detail,9850,0.1,4.26,85450
43,9081,Proofreaders and Copy Markers,detail,9820,0.1,20.17,41950
27,2031,Dancers,detail,9720,0.1,20.7,-4
25,9011,Audio-Visual and Multimedia Collections Specialists,detail,9540,0.1,25.13,52270
2652332,,Emergency Management Directors,detail,9550,0.1,39.7,82570
29,1081,Podiatrists,detail,9500,0.1,71.26,148220
41,9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detail,9430,0.1,16.4,34120
51,6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detail,9330,0.1,14.39,29930
19,2021,Atmospheric and Space Scientists,detail,9310,0.1,45.95,95580
29,2054,Respiratory Therapy Technicians,detail,9090,0.1,24.7,51380
53,7121,"Tank Car, Truck, and Ship Loaders",detail,9000,0.1,20.35,42330
47,2231,Solar Photovoltaic Installers,detail,8950,0.1,22.12,46010
53,1011,Aircraft Cargo Handling Supervisors,detail,8920,0.1,26.49,55110
51,9193,Cooling and Freezing Equipment Operators and Tenders,detail,8820,0.1,16.6,34520
53,4041,Subway and Streetcar Operators,detail,8850,0.1,30.28,62970
29,2091,Orthotists and Prosthetists,detail,8830,0.1,35.51,73860
51,6041,Shoe and Leather Workers and Repairers,detail,8640,0.1,14.33,29800
47,3016,Helpers--Roofers,detail,8630,0.1,15.26,31740
53,5031,Ship Engineers,detail,8740,0.1,36.4,75710
51,9194,Etchers and Engravers,detail,8600,0.1,16.61,34550
21,2099,"Religious Workers, All Other",detail,8460,0.1,17.24,35860
49,9063,Musical Instrument Repairers and Tuners,detail,8450,0.1,18.81,39110
27,1029,"Designers, All Other",detail,8450,0.1,32.99,68610
19,1032,Foresters,detail,8410,0.1,30.36,63150
2615808,,Funeral Service Managers,detail,8400,0.1,45.11,93820
33,3041,Parking Enforcement Workers,detail,8070,0.1,20.29,42200
51,4192,"Layout Workers, Metal and Plastic",detail,8170,0.1,22.78,47380
51,4060,"Model Makers and Patternmakers, Metal and Plastic",broad,8090,0.1,25.69,53430
25,9021,Farm and Home Management Advisors,detail,8020,0.1,25.33,52700
51,4052,"Pourers and Casters, Metal",detail,7850,0.1,19.07,39670
31,2012,Occupational Therapy Aides,detail,7700,0.1,15.66,32580
29,2092,Hearing Aid Specialists,detail,7680,0.1,26.75,55650
49,9097,Signal and Track Switch Repairers,detail,7730,0.1,32.6,67800
19,2032,Materials Scientists,detail,7730,0.1,49.25,102450
45,4011,Forest and Conservation Workers,detail,7510,0.1,15.06,31320
27,3012,Public Address System and Other Announcers,detail,7480,0.1,18.77,39040
53,6041,Traffic Technicians,detail,7290,0.1,24.38,50700
19,4051,Nuclear Technicians,detail,7230,0.1,38.45,79970
51,4194,"Tool Grinders, Filers, and Sharpeners",detail,7070,0.0,19.66,40890
19,1041,Epidemiologists,detail,7060,0.0,36.39,75690
25,1031,"Architecture Teachers, Postsecondary",detail,6880,0.0,4.95,99320
29,1128,Exercise Physiologists,detail,6740,0.0,26.33,54760
19,1099,"Life Scientists, All Other",detail,6850,0.0,42.86,89150
45,2099,"Agricultural Workers, All Other",detail,6600,0.0,16.51,34340
27,1019,"Artists and Related Workers, All Other",detail,6620,0.0,32.55,67700
39,3092,Costume Attendants,detail,6460,0.0,22.12,46010
25,4011,Archivists,detail,6370,0.0,27.12,56400
23,1022,"Arbitrators, Mediators, and Conciliators",detail,6240,0.0,34.98,72760
19,2043,Hydrologists,detail,6290,0.0,39.81,82790
51,8011,Nuclear Power Reactor Operators,detail,6280,0.0,45.82,95310
29,1161,Nurse Midwives,detail,6250,0.0,51.4,106910
25,1053,"Environmental Science Teachers, Postsecondary",detail,6040,0.0,4.55,91330
47,5099,"Extraction Workers, All Other",detail,6110,0.0,26.1,54300
33,3031,Fish and Game Wardens,detail,6040,0.0,28.49,59260
19,3091,Anthropologists and Archeologists,detail,6020,0.0,31.4,65310
25,1061,"Anthropology and Archeology Teachers, Postsecondary",detail,5890,0.0,4.69,94080
51,7099,"Woodworkers, All Other",detail,5970,0.0,16.6,34530
27,3021,Broadcast News Analysts,detail,5890,0.0,44.23,91990
17,2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detail,5780,0.0,47.32,98420
47,5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",detail,5640,0.0,25.38,52780
53,4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detail,5690,0.0,26.27,54640
49,9081,Wind Turbine Service Technicians,detail,5580,0.0,27.88,58000
19,3094,Political Scientists,detail,5660,0.0,55.43,115300
39,3099,"Entertainment Attendants and Related Workers, All Other",detail,5480,0.0,14.27,29690
43,4021,Correspondence Clerks,detail,5460,0.0,18.75,38990
29,1023,Orthodontists,detail,5350,0.0,108.54,225760
51,6051,"Sewers, Hand",detail,5350,0.0,14.19,29510
43,2021,Telephone Operators,detail,5160,0.0,18.93,39360
51,6092,Fabric and Apparel Patternmakers,detail,5220,0.0,23.65,49180
51,4061,"Model Makers, Metal and Plastic",detail,5210,0.0,27.36,56920
27,2032,Choreographers,detail,5090,0.0,25.75,53560
47,5051,"Rock Splitters, Quarry",detail,4870,0.0,17.19,35760
47,5042,Mine Cutting and Channeling Machine Operators,detail,4920,0.0,23.59,49080
29,1022,Oral and Maxillofacial Surgeons,detail,4830,0.0,116.52,242370
39,3021,Motion Picture Projectionists,detail,4840,0.0,12.42,25820
2598276,,"Farmers, Ranchers, and Other Agricultural Managers",detail,4770,0.0,38.43,79940
25,1082,"Library Science Teachers, Postsecondary",detail,4650,0.0,3.76,75450
45,4021,Fallers,detail,4680,0.0,23.33,48520
47,2043,Floor Sanders and Finishers,detail,4460,0.0,19.18,39890
33,3052,Transit and Railroad Police,detail,4470,0.0,35.79,74450
29,1029,"Dentists, All Other Specialists",detail,4490,0.0,85.96,178800
2619460,,Gaming Managers,detail,4300,0.0,40.99,85260
39,4011,Embalmers,detail,4070,0.0,22.42,46640
25,1064,"Geography Teachers, Postsecondary",detail,3960,0.0,4.43,88950
27,1012,Craft Artists,detail,3980,0.0,19.47,40490
51,6042,Shoe Machine Operators and Tenders,detail,3810,0.0,14.47,30110
45,4029,"Logging Workers, All Other",detail,3670,0.0,19.68,40940
49,9061,Camera and Photographic Equipment Repairers,detail,3690,0.0,20.45,42540
47,2072,Pile-Driver Operators,detail,3450,0.0,30.94,64360
53,7071,Gas Compressor and Gas Pumping Station Operators,detail,3460,0.0,30.24,62900
41,9012,Models,detail,3310,0.0,15.18,31570
45,4023,Log Graders and Scalers,detail,3330,0.0,18.78,39060
49,9092,Commercial Divers,detail,3380,0.0,28.59,59470
47,5049,"Mining Machine Operators, All Other",detail,3280,0.0,25.44,52920
53,7041,Hoist and Winch Operators,detail,3180,0.0,27.11,56390
53,6011,Bridge and Lock Tenders,detail,3170,0.0,22.91,47660
47,5061,"Roof Bolters, Mining",detail,3250,0.0,28.41,59090
39,5091,"Makeup Artists, Theatrical and Performance",detail,3140,0.0,34.63,72030
19,3093,Historians,detail,3040,0.0,31.91,66380
49,9095,Manufactured Building and Mobile Home Installers,detail,2920,0.0,15.82,32910
51,4062,"Patternmakers, Metal and Plastic",detail,2880,0.0,22.66,47130
53,4099,"Rail Transportation Workers, All Other",detail,2890,0.0,28.12,58490
47,2142,Paperhangers,detail,2780,0.0,19.64,40840
47,2053,Terrazzo Workers and Finishers,detail,2730,0.0,22.71,47230
19,3041,Sociologists,detail,2710,0.0,43.41,90290
49,9064,Watch Repairers,detail,2610,0.0,21.55,44830
19,1011,Animal Scientists,detail,2530,0.0,32.54,67690
29,9092,Genetic Counselors,detail,2640,0.0,38.88,80860
15,2021,Mathematicians,detail,2580,0.0,50.42,104870
53,5022,Motorboat Operators,detail,2510,0.0,24.21,50350
53,7033,"Loading Machine Operators, Underground Mining",detail,2500,0.0,24.73,51450
45,2021,Animal Breeders,detail,2160,0.0,20.71,43080
33,2022,Forest Fire Inspectors and Prevention Specialists,detail,2130,0.0,23.85,49610
43,2099,"Communications Equipment Operators, All Other",detail,2100,0.0,20.87,43410
19,2011,Astronomers,detail,2160,0.0,53.41,111090
25,1043,"Forestry and Conservation Science Teachers, Postsecondary",detail,2070,0.0,4.61,92550
25,1192,"Home Economics Teachers, Postsecondary",detail,2080,0.0,3.84,77170
15,2090,Miscellaneous Mathematical Science Occupations,broad,2010,0.0,34.8,72390
53,7111,Mine Shuttle Car Operators,detail,1690,0.0,26.99,56150
17,2021,Agricultural Engineers,detail,1630,0.0,38.03,79090
19,3092,Geographers,detail,1390,0.0,38.72,80530
51,7030,"Model Makers and Patternmakers, Wood",broad,1280,0.0,26.7,55540
53,7031,Dredge Operators,detail,1190,0.0,22.84,47500
49,9045,"Refractory Materials Repairers, Except Brickmasons",detail,1120,0.0,25.24,52510
27,4013,Radio Operators,detail,870,0.0,21.49,44710
51,2093,Timing Device Assemblers and Adjusters,detail,780,0.0,18.01,37460
51,7031,"Model Makers, Wood",detail,740,0.0,25.29,52590
19,3032,Industrial-Organizational Psychologists,detail,780,0.0,52.42,109030
51,7032,"Patternmakers, Wood",detail,530,0.0,28.68,59650
53,4012,Locomotive Firers,detail,560,0.0,33.19,69030
49,9093,"Fabric Menders, Except Garment",detail,400,0.0,16.13,33550
35,2013,"Cooks, Private Household",detail,460,0.0,19.83,41240
29,1024,Prosthodontists,detail,380,0.0,92.02,191400
13,1074,Farm Labor Contractors,detail,200,0.0,25.45,52930
