Year,Country,Location,Latitude,Longitude,Focal Depth (km),Mag,Deaths
1968,RUSSIA,KURIL ISLANDS,43.586,146.701,40,7.3,
1973,RUSSIA,KURIL ISLANDS,43.3,146.4,50,7.1,
1973,RUSSIA,KURIL ISLANDS,43.2,146.6,50,6.6,
1976,RUSSIA,KURIL ISLANDS,44.915,149.123,41,7,
1978,RUSSIA,KURIL ISLANDS,44.026,149.002,33,6.7,
1978,RUSSIA,KURIL ISLANDS,44.14,149.029,33,6.6,
1978,RUSSIA,KURIL ISLANDS,44.209,148.971,46,6.8,
1978,RUSSIA,KURIL ISLANDS,44.932,148.439,33,7.5,
1978,RUSSIA,KURIL ISLANDS,44.244,148.862,33,7.6,
1978,RUSSIA,KURIL ISLANDS,44.592,146.581,91,7.5,
1980,RUSSIA,KURIL ISLANDS,43.53,146.753,44,7,
1984,RUSSIA,KURIL ISLANDS,44.117,148.192,44,7,
1991,RUSSIA,KURIL ISLANDS,48.268,154.328,39,5.7,
1994,RUSSIA,KURIL ISLANDS,43.905,147.916,33,7.3,
2006,RUSSIA,KURIL ISLANDS,46.592,153.266,10,8.3,
2007,RUSSIA,KURIL ISLANDS,46.243,154.524,10,8.1,
2009,RUSSIA,KURIL ISLANDS,46.857,155.154,36,7.4,
2013,RUSSIA,KURIL ISLANDS,46.221,150.788,110,7.2,
2020,RUSSIA,KURIL ISLANDS,48.986,157.693,57,7.5,
1934,TURKEY,KURDISTAN,37.919,40.211,,,100
1934,TURKEY,KURDISTAN,37.919,40.211,,,20
2016,JAPAN,KURAYOSHI,35.374,133.809,6,6.2,
1983,TURKMENISTAN,KUM-DAG,39.042,48.714,33,4.6,
704,JAPAN,KUMANONADA,33.8,136.7,,7,
922,JAPAN,KUMANONADA,33.8,136.7,,7,
1360,JAPAN,KUMANONADA,33.4,136.2,,7,
1403,JAPAN,KUMANONADA,33.7,136.5,,7,
1408,JAPAN,KUMANONADA,33.8,136.9,,7,
2016,JAPAN,"KUMAMOTO, OITA",32.791,130.754,10,7,50
1889,JAPAN,KUMAMOTO,32.8,130.7,,6.3,20
1998,ALBANIA,"KUKES, PESHKOPI",41.925,20.39,10,5.3,
1732,JAPAN,KUJUKURI BEACH,35.2,140.8,,6.5,
1862,IRAN,KUHRUD,35,59,,,
910,IRAQ,"KUFAH,BAGHDAD",33.2,44.2,,,
1367,IRAN,KUCHESFAHAN,37.3,49.7,,,
1959,TURKEY,"KOYCEGIZ, MUGLA",37,28.7,,6.3,
2002,SERBIA,KOSOVO; MACEDONIA,42.436,21.466,10,5.7,1
2003,RUSSIA,"KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO",50.038,87.813,16,7.3,3
2003,RUSSIA,"KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",50.211,87.721,10,6.7,
2003,RUSSIA,KOSH-AGACH,50,87.89,10,4.4,
554,GREECE,KOS,36.8,27.3,,7,
1491,GREECE,KOS,36.9,27,,,5000
2006,RUSSIA,KORYAKSKIY,60.949,167.089,22,7.6,
1932,FIJI,"KORO,MUDU,SUVASAVU",-17.5,179.6,,6.2,
856,GREECE,"KORINTHOS,PATRAI (PATRAS)",37.9,22.9,,,45000
1911,ALBANIA,"KORCE, STAROVE, POGRADEC, SALXHIJAS",40.4,20.5,,,
1930,ALBANIA,"KORCE, POLENA, LAVDAR, MOSKOPOJE, SHIPSKE",40.4,20.5,33,5.6,
1931,ALBANIA,KORCE,40.6,20.8,33,5.8,90
2019,ALBANIA,KORCE,40.501,20.722,10,5.2,
1929,IRAN,KOPET-DAGH,37.8,57.6,50,7.4,3800
1976,ICELAND,KOPASKER,66.16,-16.58,33,6.4,
1849,RUSSIA,KOMANDORSKY ISLAND,55,166,20,7.5,
1858,RUSSIA,KOMANDORSKY ISLAND,55,166,20,7.5,
1905,RUSSIA,KOMANDORSKY ISLAND,53,164,60,7.8,
1936,RUSSIA,KOMANDORSKY ISLAND,55,165,20,7.2,
1802,ALGERIA,"KOLEA, BLIDA, ALGIERS",36.5,2.9,,,
2015,INDIA,KOKRAJHAR,26.638,90.41,26,5.3,
2018,IRAN,KOHGILUYEH AND BOYER-AHMAD,30.715,51.485,10,5.3,
1909,TURKEY,KOGLACIK,40.3,29.6,,5.8,
1886,INDONESIA,KOETA RADJA (ATJEH),5.6,95.3,,,
1866,USA,"KODIAK ISLAND, AK",58,-152,,,
1792,USA,KODIAK ISLAND,57,-152,,,
1900,USA,KODIAK ISLAND,57.09,-153.48,,8.3,
2018,USA,KODIAK ISLAND,56.004,-149.166,14,7.9,
2006,KYRGYZSTAN,KOCHKOR,42.156,76.163,12,5.8,
2005,SOUTH AFRICA,"KLERKSDORP, STILFONTEIN",-26.913,26.789,5,4.3,2
1993,USA,KLAMATH FALLS,42.314,-122.012,11,6,2
1990,ROMANIA,"KISHINEV, CIS",45.811,26.769,88,6.1,
1804,JAPAN,KISAKATA,39.05,139.95,,7.3,450
1938,TURKEY,KIRSEHIR,39.4,33.8,33,6.7,224
1864,IRAN,"KIRMAN, CHATRUD",30.6,57,,,
1844,SAINT VINCENT AND THE GRENADINES,KINGSTOWN,13.1,-61.1,,,
1812,JAMAICA,KINGSTON,18,-76.8,,,
1824,JAMAICA,KINGSTON,18,-76.5,,,
1861,JAMAICA,KINGSTON,18.5,-77.9,,,
1881,JAMAICA,KINGSTON,17.97,-76.8,,,
1893,JAMAICA,KINGSTON,17.97,-76.8,,,
1896,JAMAICA,KINGSTON,17.6,-76.7,,,
1907,JAMAICA,KINGSTON,18.667,-76.237,15,6.2,1000
1520,JAPAN,"KII, KUMANANONADA",33.6,136.3,,7,
1935,TURKEY,KIGI,39.3,40.6,,6.1,540
1966,UGANDA,"KICHWAMBA, BONDIBOGYO",0.6,30.2,36,7,140
2016,AFGHANISTAN,KHYBER PAKHTUNKHWA,36.473,71.131,212,6.6,6
1843,IRAN,KHVOY (KHOY),38.6,44.9,,,1000
1881,IRAN,KHVOY (KHOY),38.3,44.6,,,
1896,IRAN,KHVOY (KHOY),38.5,45,,,800
1052,IRAN,KHUZESTAN,30.6,50.3,,,
2010,IRAN,KHUZESTAN,32.45,48.3,5,5,
1986,PAKISTAN,KHUZDAR,27.727,66.65,43,4.5,
763,IRAN,KHURASAN,33.3,59.3,,7.6,
1791,IRAN,"KHOT,TABRIZ,REZAIYEH,KHANEH,VAN,ERZERUM",38,46.2,,,
2004,IRAN,"KHORRAMABAD, POL-E DOKHTAR",33.297,47.977,36,5,
1984,AFGHANISTAN,"KHOROG, JALALABAD; PAKISTAN",34.616,70.484,33,5.8,1
1976,AFGHANISTAN,KHOROG,36.51,71.04,190,6.1,
2012,IRAN,KHORASAN-E-RAZAVI,36.288,58.835,8,5.3,
1065,IRAN,"KHORASAN,JABAL",35,58,,,
1976,IRAN,KHORASAN PROVINCE,33.8,59.15,13,6.2,17
2012,IRAN,KHORASAN PROVINCE,33.506,59.571,14,5.7,8
1052,IRAN,KHORASAN,36,58.8,,,
1066,IRAN,KHORASAN,34,58,,,
1101,IRAN,KHORASAN,36,59,10,6.5,60000
1979,IRAN,KHORASAN,33.918,59.741,33,6.6,350
2017,IRAN,KHORASAN,37.769,57.206,8,5.6,3
2017,IRAN,KHONJ,28.2,53.107,10,5,4
1971,RUSSIA,KHOLMSK,46.7,141.4,29,5.5,
1881,GREECE,KHIOS; TURKEY,38.25,26.25,,7.3,7866
1881,GREECE,KHIOS,38.2,26.2,,,
1963,IRAN,"KHENDODZHAN, DAKHNE-UDZHAK",36.9,57.8,3,4.5,4
1991,GEORGIA,KHEKHETI,42.565,43.349,14,4.9,
2005,INDIA,KHASPUR,24.55,92.524,35,5.1,
1993,SUDAN,KHARTOUM,15.385,31.69,13,5.5,2
2010,PAKISTAN,"KHANPUR, HARIPUR",33.869,72.887,33,5.2,1
1953,IRAN,"KHAN-E-ZENYAN,KHATIRI",29,52,,,1
1336,IRAN,KHAF,34.7,59.7,,7.6,20000
1863,GREECE,"KHADRA,KHIOS",38.25,26.25,,,
1852,IRAN,KHABUSHAN (NW KUCHAN),37.1,58.4,10,5.8,2000
1973,IRAN,"KHABIS,HENGAM ISLAND",28.58,52.62,27,5.2,
1935,IRAN,"KEVSUT, ALBORZ, SARI",36.3,53.5,14,6.3,690
1952,USA,KERN COUNTY,35,-119.017,16,7.7,12
1952,USA,KERN COUNTY,35.333,-118.917,16,5.8,2
2017,IRAN,KERMANSHAH; IRAQ,34.911,45.959,19,7.3,630
2018,IRAN,KERMANSHAH; IRAQ,34.304,45.74,10,6.3,1
2019,IRAN,KERMANSHAH,34.121,45.681,14,5.6,
2002,IRAN,KERMANSHAH,34.594,47.454,33,5.2,
2018,IRAN,KERMANSHAH,34.585,45.77,10,5,
2018,IRAN,KERMANSHAH,33.713,45.724,10,5.5,
2018,IRAN,KERMANSHAH,34.456,45.764,10,5.3,
2018,IRAN,KERMANSHAH,34.645,46.179,6,5.9,
2018,IRAN,KERMANSHAH,34.663,46.277,10,6,2
2005,IRAN,KERMAN PROVINCE,30.754,56.816,14,6.4,612
2010,IRAN,KERMAN,28.412,59.18,12,6.5,7
2017,IRAN,KERMAN,30.746,57.307,9,6.1,
2018,IRAN,KERMAN,28.342,59.315,10,5.5,1
2011,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS,-29.539,-176.34,17,7.6,
1937,PAPUA NEW GUINEA,"KERAVIA, RABAUL, KOKOPO",-4.271,152.203,,,
2009,INDONESIA,KEPULAUAN TALAUD,3.884,126.397,22,7.2,
2004,INDONESIA,KEPULAUAN ALOR,-8.152,124.868,10,7.5,34
2016,USA,KENAI,59.658,-153.452,126,7.1,
2013,RUSSIA,KEMEROVO,54.263,86.173,10,5.3,
2014,GREECE,KEFALONIA,38.244,20.379,4,6,
2014,GREECE,KEFALONIA,38.208,20.453,8,6.1,
1915,GREECE,"KEFALLONIA ISLAND, ITHACA ISLAND",38.5,20.7,14,6.7,
1874,TURKEY,"KEBAN,MADEN",38.8,38.8,,6.1,
1824,IRAN,"KAZIRUN, SHAHPUR",29.7,51.6,,,
2003,IRAN,"KAZERUN, NURABAD",29.59,51.474,33,5.2,
1946,IRAN,KAZERUN,29.4,51.4,,,
2004,IRAN,KAZERUN,29.881,51.474,67,5,
1940,TURKEY,"KAYSERI,DEVELI",38.4,35.5,,,37
1994,INDONESIA,KAU,1.015,127.733,20,7,9
1726,JAPAN,KATSUYAMA,36.3,136,,6.6,
2019,POLAND,KATOWICE,50.287,18.997,,3.1,3
1975,GREECE,KATO-MAKRINOU,38.628,21.798,19,5.5,1
2015,NEPAL,KATHMANDU; INDIA; CHINA; BANGLADESH,28.231,84.731,8,7.8,8200
1833,NEPAL,KATHMANDU; INDIA,28.3,85.5,,8,
1988,NEPAL,"KATHMANDU, BIHAR",26.755,86.616,57,6.6,998
1255,NEPAL,KATHMANDU,27.7,85.3,,,
1866,NEPAL,KATHMANDU,27.7,85.3,,,
1869,NEPAL,KATHMANDU,27.7,85.3,,6.5,
1942,TURKEY,"KASTAMONU, KARGI",40.3,34.6,,,17
1963,INDIA,KASHMIR,33.9,74.8,25,5.3,80
1501,INDIA,KASHMIR,34.1,74.8,,,
1555,INDIA,KASHMIR,33.5,75.5,,7.6,
1678,INDIA,KASHMIR,34.1,74.8,,,
1784,INDIA,KASHMIR,34.1,74.8,,,
1885,INDIA,KASHMIR,33.5,75,,,3000
2013,INDIA,KASHMIR,33.297,75.95,42,5.2,
1975,INDIA,KASHMIR,32.46,78.43,33,6.8,47
2013,INDIA,KASHMIR,33.061,75.863,15,5.7,3
1986,INDIA,KASHMIR,32.128,76.374,33,5.3,6
1828,INDIA,KASHMIR,34.2,74.5,,,1000
1885,INDIA,KASHMIR,34,76,,,
1980,INDIA,KASHMIR,32.913,75.633,25,4.9,15
1980,INDIA,KASHMIR,32.834,75.629,33,4.8,
2009,PAKISTAN,KASHMIR,34.204,73.899,10,5.4,
2009,INDIA,KASHMIR,33.198,75.787,21,4.9,
1903,IRAN,KASHMAR,35.2,58.2,,6.5,350
1730,JAPAN,KASHIMA,36.2,142.2,,7.6,
1953,JAPAN,KASHIMA,34,141.7,60,7.4,1
1961,JAPAN,KASHIMA,36,142.3,40,,
1961,JAPAN,KASHIMA,36,141.9,20,,
1961,JAPAN,KASHIMA,36.2,141.9,20,,
1844,IRAN,"KASHAN, QAMSAR, KAMU, KUSHIAN, CHUKA",33.6,51.4,,6.4,1500
1778,IRAN,KASHAN,33.6,51.3,,,30000
1778,IRAN,KASHAN,33.9,51.3,,,
1794,IRAN,KASHAN,34,51.4,,,
1440,IRAN,KARZIN,28.3,53.1,,6.5,
2008,CZECH REPUBLIC,KARVINA,49.914,18.455,,4.1,2
1900,TURKEY,"KARS,KARAKURT,KAGIZMAN,DIGOR",40.3,43.1,,5.9,140
1003,TURKEY,"KARS, DIGOR, ANI (ARMENIA)",40.5,43.3,20,4.2,
1707,TURKEY,KARS,40.4,43,,,
2009,MALAWI,KARONGA,-9.948,33.878,8,5.9,1
2009,MALAWI,KARONGA,-10.108,33.818,6,6,3
1970,IRAN,"KARNAVEH, MAREV",37.8,55.9,16,6.7,220
1949,TURKEY,KARLIOVA,39,40.5,,6.8,320
1963,IRAN,KARKHANEH,34.4,47.9,40,7.2,100
1984,PAPUA NEW GUINEA,KARKAR,-4.647,145.805,28,6.6,
1907,TAJIKISTAN,KARATAG,38.5,67.9,35,7.4,12000
1961,ETHIOPIA,KARAKORE,10.4,39.9,33,6.5,30
2017,ZAMBIA,KAPUTA,-8.44,30.031,30,5.9,
1985,TAJIKISTAN,"KAPTOLYUK, KAYRAKKUM, GAFUROV",40.301,69.823,16,5.9,29
1983,USA,KAPAPALA,19.43,-155.454,12,6.7,
2010,TAIWAN,KAO-HSIUNG,22.918,120.795,21,6.3,
1905,INDIA,KANGRA,33,76,25,7.8,19000
1883,IRAN,"KANGAN,TAHERI (TAHIRI)",27.5,52.3,,5.8,
1944,GREECE,KAMPOS (LACONIA),36.7,22.5,8,5.7,
1590,AUSTRIA,KAMP RIVER,48.3,15.5,,6.6,
1991,RUSSIA,"KAMCHATKA, KURIL ISLANDS",45.533,151.021,24,7.6,
1899,RUSSIA,KAMCHATKA PENINSULA,53,159,20,7.9,
1923,RUSSIA,KAMCHATKA PENINSULA,55,162.4,20,7.7,
1952,RUSSIA,KAMCHATKA PENINSULA,52.755,160.057,22,9,
1997,RUSSIA,KAMCHATKA,54.841,162.035,33,7.8,
1737,RUSSIA,KAMCHATKA,51.1,158,,,
1791,RUSSIA,KAMCHATKA,56,163,20,6.8,
1827,RUSSIA,KAMCHATKA,53,158.5,,,
1849,RUSSIA,KAMCHATKA,55,166,,,
1917,RUSSIA,KAMCHATKA,56.5,163,40,7.8,
1923,RUSSIA,KAMCHATKA,54,161,19,8.3,
1927,RUSSIA,KAMCHATKA,55.663,160.039,35,7.5,
1937,RUSSIA,KAMCHATKA,56,162.5,33,,
1943,RUSSIA,KAMCHATKA,54.9,156.8,350,7.6,
1949,RUSSIA,KAMCHATKA,54.6,163.5,150,,
1959,RUSSIA,KAMCHATKA,45.89,151.11,70,7.2,
1961,RUSSIA,KAMCHATKA,50.016,156.099,59,6.6,
1964,RUSSIA,KAMCHATKA,47.159,153.876,15,6.8,
1984,RUSSIA,KAMCHATKA,56.2,163.4,33,7,
1993,RUSSIA,KAMCHATKA,51.218,157.829,71,7.5,
1993,RUSSIA,KAMCHATKA,51.934,158.647,34,7,
1241,JAPAN,KAMAKURA,35.2,139.4,,7,
1293,JAPAN,KAMAKURA,35.2,139.4,,7.1,23024
1495,JAPAN,KAMAKURA,35.1,139.5,,7.1,
1931,MYANMAR (BURMA),KAMAING,25.4,96.8,,,
2013,AFGHANISTAN,KAMA,34.526,70.22,64,5.5,18
1957,INDONESIA,KALIMANTAN ISLAND,-2,116,,6,
1991,MALAYSIA,KALIMANTAN,5.865,116.746,33,4.5,1
2010,AUSTRALIA,KALGOORLIE,-30.794,121.406,0,5.2,
2014,AUSTRALIA,KALGOORLIE,-30.686,121.332,1,4.5,
2005,CONGO,KALEMIE,-6.224,29.83,22,6.8,6
1990,PAKISTAN,"KALAT, QUETTA, MASTUNG",28.925,66.331,10,6.1,11
1992,PAKISTAN,KALAT,29.087,66.74,9,5.5,4
1986,GREECE,"KALAMI, LAKONIA, ZAKINTHOS",37.014,22.176,11,5.8,20
1887,ALGERIA,KALAA,35.58,0.33,,,20
1811,GEORGIA,KAKHETIYA,41.8,45.2,7,4.2,
2002,IRAN,"KAK, RAZAN, SIZAN",35.701,48.838,10,5.2,
1897,INDONESIA,KAJUADI ISLAND,-6.8,120.8,15,5.5,
854,TUNISIA,"KAIROUAN, TUNIS",35.7,10.1,,,
2002,PAPUA NEW GUINEA,"KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,13,7.6,4
1915,INDONESIA,KAIMANA,-3.644,133.695,,,
1988,PAPUA NEW GUINEA,KAIAPIT (LANDSLIDE GENERATED),-6.06,146.23,0,4.3,74
1991,TURKEY,KAGIZMAN,39.984,42.875,26,4.5,
1036,NORTH KOREA,KAESONG,37.6,126.3,,5.7,
1385,NORTH KOREA,KAESONG,37.6,126.3,,6.3,
1957,IRAN,KACHU MESQAL,33.4,52.5,,,16
1908,MYANMAR (BURMA),KACHIN,26.639,96.866,15,7.2,
1931,MYANMAR (BURMA),KACHIN,25.6,96.8,60,7.6,
1505,AFGHANISTAN,KABUL,34.5,69.2,,,
1956,AFGHANISTAN,KABUL,35.1,67.5,60,7.6,100
1992,CONGO,KABALO,-6.087,26.651,11,7,8
1341,JAPAN,JUSANKO,41,139.5,,7,
2000,PANAMA,JURADO,7.042,-77.829,17,6.5,
2017,PERU,JUNIN,-10.721,-74.566,32,5.8,1
1970,PERU,JUIN  PROVINCE FELT ARGENTINA TO MEXICO CITY,-1.5,-72.6,651,7.1,1
1878,EL SALVADOR,JUCUAPA,13.5,-88.4,,,
1951,EL SALVADOR,JUCUAPA,13,-87.8,100,6.5,1100
1942,MEXICO,JUCHITAN,16.3,-95,,,
1990,SUDAN,"JUBA, MAYA;  UGANDA",5.121,32.145,15,7.1,31
1990,SUDAN,"JUBA, KAPENGURIA",5.358,31.848,16,7,
1972,PERU,JUANJUI,-6.8,-76.8,64,6.1,7
1992,USA,"JOSHUA TREE, ANGELUS OAKS",33.961,-116.318,12,6.3,
1759,MEXICO,JORULLO,19.5,-102.3,,,
1991,INDIA,"JODHPUR, JAISALMER",26.323,70.607,22,5,
1946,PERU,"JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA",-8.5,-77.5,12,7.3,800
1986,BRAZIL,"JOAO CAMARA, NATAL",-5.494,-35.769,5,4.8,1
2010,ETHIOPIA,"JIMA,  HOSA'INA, SHENK'OLA, WENJELA",7.521,37.839,10,5.1,
2013,CHINA,JILIN PROVINCE,44.599,124.168,10,5.3,
2019,CHINA,JILIN PROVINCE,45.205,124.611,17,4.8,
2018,CHINA,JILIN PROVINCE,45.279,124.557,10,5.1,
2006,CHINA,JILIN PROVINCE,44.624,124.122,10,4.9,
1917,CHINA,JILIN PROVINCE,42.5,131,460,7.5,
1960,CHINA,JILIN PROVINCE,44.7,127,,5.8,
1966,CHINA,JILIN PROVINCE,43.83,125.12,,5.2,
1792,TAIWAN,"JIAYI, TAINAN",23.6,120.5,,6.8,252
1776,TAIWAN,"JIAYI, KAGI",23.5,120.6,,5.5,
1839,TAIWAN,JIAYI,23.4,120.4,,6.5,117
1884,TAIWAN,JIAYI,23.5,120.4,,5.3,
1904,TAIWAN,JIAYI,23.5,120.5,,6,3
1904,TAIWAN,JIAYI,23.5,120.3,,6.3,145
1906,TAIWAN,JIAYI,23.6,120.5,,6.8,1258
1906,TAIWAN,JIAYI,23.4,120.4,,6.5,15
1361,CHINA,JIANGXI PROVINCE,28.8,115.3,,5,
2005,CHINA,JIANGXI,29.695,115.689,10,5.2,16
1037,CHINA,JIANGSU PROVINCE,32,119,,,22391
1372,CHINA,JIANGSU PROVINCE,32,118.8,,4.8,16
1979,CHINA,JIANGSU PROVINCE,31.452,119.241,11,5.4,42
999,CHINA,JIANGSU PROVINCE,31.8,119.9,,5.5,
499,CHINA,JIANGSU PROVINCE,32.1,118.8,,,
1531,CHINA,JIANGSU PROVINCE,30.7,117.5,,4.8,
1679,CHINA,JIANGSU PROVINCE,31.4,119.5,,5,
1930,CHINA,JIANGSU PROVINCE,32.2,119.4,,5.5,
1974,CHINA,JIANGSU PROVINCE,31.6,119.2,16,5.5,
2012,CHINA,JIANGSU PROVINCE,32.978,119.593,10,4.9,1
425,ISRAEL,"JERUSALEM, PALESTINE, RAMLEH; EGYPT",31.9,34.9,,,
-759,ISRAEL,JERUSALEM,33,35.5,,,
1683,ARMENIA,JEREVAN (ERIVAN),40.1,44.3,,,
1692,ARMENIA,JEREVAN (ERIVAN),40.1,44.3,,,
2013,TAIWAN,JENAI,23.789,121.141,17,6.3,4
749,IRAQ,JAZIRAH,35,43.5,,,
678,IRAQ,JAZIRAH,35,43.5,,,
1998,INDONESIA,"JAWA, MALANG, BLITAR, BANTUR",-8.194,112.413,152,6.6,1
1992,INDONESIA,"JAWA, BREBES",-7.138,109.067,58,4.4,
2000,INDONESIA,JAWA,-6.675,106.845,33,5.4,
1982,INDONESIA,"JAVA, SUKABUMI",-6.863,106.936,40,5.5,
1957,INDONESIA,JAVA SEA,-4.6,107.1,600,7.5,
1924,INDONESIA,JAVA,-7.3,109.9,,,727
1990,INDONESIA,JAVA,-6.904,108.12,14,4.8,
1980,INDONESIA,JAVA,-8.082,108.793,84,5.8,
2020,INDONESIA,JAVA,-6.808,106.676,23,5,
1900,INDONESIA,JAVA,-6.84,106.96,,,
1840,INDONESIA,JAVA,-8,110.5,150,7,
1926,INDONESIA,JAVA,-7.1,109,,,
1890,INDONESIA,JAVA,-6.76,111.04,,,
1923,INDONESIA,JAVA,-7.7,109.2,,,
1958,INDONESIA,JAVA,-9.5,112.5,100,6.7,8
1963,INDONESIA,JAVA,-6.4,105.4,64,6.6,
1867,INDONESIA,JAVA,-7.8,110.4,,,5
1937,INDONESIA,JAVA,-9.4,110.2,70,7.2,1
1943,INDONESIA,JAVA,-9.5,110,90,8.1,213
2020,INDONESIA,JAVA,-8.058,114.242,,,
1950,INDONESIA,JAVA,-6,113,,6.5,16
1843,INDONESIA,JAVA,-7.2,114,,6,
2005,INDONESIA,JAVA,-7.037,107.819,15,4.8,1
2010,INDONESIA,JAVA,-7.907,107.879,65,5.1,1
1852,INDONESIA,JAVA,-6.5,105.5,150,6.5,
1722,INDONESIA,JAVA,-6.174,106.829,,,
1967,INDONESIA,JAVA,-9.2,113.1,80,6.8,54
1847,INDONESIA,JAVA,-6.67,108.55,,,
2003,INDONESIA,JAVA,-6.983,108.468,33,4.6,
1971,INDONESIA,JAVA,-7.2,109.1,35,5.2,1
1834,INDONESIA,JAVA,-6.7,107,,,
1863,INDONESIA,JAVA,-7.5,109.3,,,
2014,INDONESIA,JAVA,-7.986,109.265,66,6.1,
2006,INDONESIA,JAVA,-7.961,110.446,13,6.3,5749
2018,INDONESIA,JAVA,-7.092,105.963,48,5.9,1
2019,INDONESIA,JAVA,-7.267,104.825,53,6.9,6
2018,INDONESIA,JAVA,-7.21,109.65,4,4.4,3
1865,INDONESIA,JAVA,-7.2,110.3,,,
1823,INDONESIA,JAVA,-6.5,108.5,150,6.8,
1863,INDONESIA,JAVA,-6.1,106.7,,,
1916,INDONESIA,JAVA,-9,113,100,7.3,
1924,INDONESIA,JAVA,-7.3,109.8,,,60
1975,INDONESIA,JAVA,-6.7,106.7,27,5.6,1
1979,INDONESIA,JAVA,-7.656,108.252,62,6.1,30
1994,INDONESIA,JAVA,-10.477,112.835,18,7.8,
1994,INDONESIA,JAVA,-10.362,112.892,26,6.6,
1994,INDONESIA,JAVA,-10.777,113.366,11,6.5,
1994,INDONESIA,JAVA,-10.341,113.369,17,6.1,
2006,INDONESIA,JAVA,-9.254,107.411,34,7.7,
2007,INDONESIA,JAVA,-5.968,107.655,289,7.5,
2009,INDONESIA,JAVA,-7.782,107.297,46,7,81
2012,INDONESIA,JAVA,-7.692,106.371,50,5.8,
2013,INDONESIA,JAVA,-8.803,113.002,60,5.7,
2017,INDONESIA,JAVA,-7.492,108.174,90,6.5,4
2005,INDIA,"JAUSARI, CHAMOLI, NANDPRAYAG",30.476,79.255,44,5.3,1
1867,GREECE,JANNINA (EPIRUS),39.8,20.8,,,
1774,MEXICO,"JALISCO,ZACATECAS",22.04,-103.73,,,
1806,MEXICO,"JALISCO,OAXACA,MICHOACAN",18.9,-103.8,,7.5,
1995,MEXICO,"JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",19.055,-104.205,33,8,49
1885,MEXICO,JALISCO,20.8,-103.4,,,
1777,MEXICO,JALISCO,20.3,-103.7,,,
1878,MEXICO,JALISCO,20.3,-103.4,,,
1905,MEXICO,JALISCO,20.3,-103.4,,,
1934,MEXICO,JALISCO,18.5,-105.5,5,7,
1842,AFGHANISTAN,JALALABAD,34.4,70.5,,,500
2002,AFGHANISTAN,JALALABAD,35.704,69.868,91,5.5,
1757,INDONESIA,JAKARTA,-6,107,,7.5,
2009,INDIA,JAISALMER,27.143,70.749,44,5.2,
1971,IRAN,"JAILAN,BOKRAN,HOSSEINABAD,SHARIFABAD",36.6,55.6,39,5.3,1
1957,IRAN,JAHROM,28.3,53.3,,,
2017,COSTA RICA,JACO,9.515,-84.487,19,6.5,2
1864,HAITI,JACMEL,18.2,-72.53,,,
1545,JAPAN,IZU PENINSULA,34.8,139,,,
1956,JAPAN,IZU PENINSULA,33.8,138.8,50,6.5,
367,TURKEY,"IZNIK,NICAEA",40.7,29.7,,,1000
1064,TURKEY,"IZNIK,NICAEA",40.7,29.7,,,
29,TURKEY,"IZNIK,IZMIT",40.5,28.9,,,
358,TURKEY,"IZNIK, IZMIT [NICOMEDIA]",40.77,29.9,,,
715,TURKEY,IZNIK,40.4,28.9,,,
355,TURKEY,"IZMIT,NICOMEDIA",40.7,29.7,,,
1878,TURKEY,"IZMIT, ESME, LABINIA",40.8,29,,6.7,40
1999,TURKEY,IZMIT,40.711,29.949,10,5.2,1
1653,TURKEY,"IZMIR,ALASEHIR,DENIZLI,AYDIN",38.2,28.2,,7.5,2500
2003,TURKEY,"IZMIR, SEFERIHISAR",38.221,26.958,10,5.7,
17,TURKEY,"IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART",37.85,27.3,,,
177,TURKEY,"IZMIR, AEGEAN ISLANDS",38.6,26.65,,,
688,TURKEY,IZMIR,38.4,27.2,,,2000
1667,TURKEY,IZMIR,38.4,27.1,,6.6,
1688,TURKEY,IZMIR,38.4,26.9,,7,16000
1880,TURKEY,IZMIR,38.1,27.8,,6.1,
1974,TURKEY,IZMIR,38.6,27,29,5.2,2
2005,TURKEY,IZMIR,38.152,26.751,10,5.9,1
1980,HONDURAS,IZABEL PROVINCE,15.888,-88.516,22,6.4,2
1999,GUATEMALA,IZABAL-PUERTO BARRIOS; HONDURAS,15.782,-88.33,10,6.7,2
1986,GUATEMALA,"IXCHIGUAN, SAN MARCOS PROVINCE",15.075,-92.072,16,4.7,
1870,GREECE,ITEA DELPHI (PHOKIS),38.5,22.5,,7,100
1063,TURKEY,"ISTANBUL,TRAKYA, ERDEK, IZNIK",40.4,28.9,,,
1999,TURKEY,"ISTANBUL, KOCAELI, SAKARYA",40.76,29.97,13,7.6,17118
440,TURKEY,ISTANBUL (CONSTANTINOPLE),41,29,,,
447,TURKEY,ISTANBUL (CONSTANTINOPLE),40.9,28.5,,7.3,
477,TURKEY,ISTANBUL (CONSTANTINOPLE),41,29,,,
555,TURKEY,ISTANBUL (CONSTANTINOPLE),41.04,28.98,,,
