Year,Country,Location,Latitude,Longitude,Focal Depth (km),Mag,Deaths
1926,CHINA,YUNNAN PROVINCE,25.6,100.3,,5.5,
1930,CHINA,YUNNAN PROVINCE,26.8,103,,6,42
1930,CHINA,YUNNAN PROVINCE,25.8,98.4,,6.5,
1934,CHINA,YUNNAN PROVINCE,23.7,102.7,,6,1
1936,CHINA,YUNNAN PROVINCE,26.6,103,,5.5,30
1938,CHINA,YUNNAN PROVINCE,21.7,99.5,,6,
1939,CHINA,YUNNAN PROVINCE,24.4,102.5,,5.5,2
1940,CHINA,YUNNAN PROVINCE,23.9,102.3,,6,181
1940,CHINA,YUNNAN PROVINCE,24.4,102.5,,5.5,2
1941,CHINA,YUNNAN PROVINCE,23.6,99.4,,7,
1941,CHINA,YUNNAN PROVINCE,22.7,99.9,,7,
1947,CHINA,YUNNAN PROVINCE,25,102,,5.5,1
1948,CHINA,YUNNAN PROVINCE,26.4,99.7,,6.8,110
1950,CHINA,YUNNAN PROVINCE,21.7,100.1,,7,
1950,CHINA,YUNNAN PROVINCE,23.5,103.1,,5.8,
1951,CHINA,YUNNAN PROVINCE,26.7,100,,6.3,
1952,CHINA,YUNNAN PROVINCE,22.7,99.8,,6.5,
1952,CHINA,YUNNAN PROVINCE,22.9,99.7,,5.8,
1953,CHINA,YUNNAN PROVINCE,24.2,103.2,,5,
1955,CHINA,YUNNAN PROVINCE,26.5,101.1,,6,
1955,CHINA,YUNNAN PROVINCE,26.6,101.8,10,6.8,
1961,CHINA,YUNNAN PROVINCE,24.97,98.63,33,5.8,
1961,CHINA,YUNNAN PROVINCE,27.73,99.75,25,6,
1962,CHINA,YUNNAN PROVINCE,23.6,106.1,,5.5,
1962,CHINA,YUNNAN PROVINCE,25.2,101.2,18,6.2,
1963,CHINA,YUNNAN PROVINCE,25.8,99.5,,6,
1964,CHINA,YUNNAN PROVINCE,26.1,101,15,5.4,
1965,CHINA,YUNNAN PROVINCE,22.4,101.6,15,6.1,
1966,CHINA,YUNNAN PROVINCE,27.9,99.7,,5.1,
1966,CHINA,YUNNAN PROVINCE,26.1,103.1,,6.5,
1966,CHINA,YUNNAN PROVINCE,26.1,103.1,,6.2,
1966,CHINA,YUNNAN PROVINCE,24,97.7,,5.4,
1966,CHINA,YUNNAN PROVINCE,27.5,100.1,,6.4,
1985,CHINA,YUNNAN PROVINCE,25.926,102.871,5,5.8,23
1988,CHINA,YUNNAN PROVINCE,22.789,99.611,18,7.3,738
1988,CHINA,YUNNAN PROVINCE,23.181,99.439,10,6.4,
1993,CHINA,YUNNAN PROVINCE,23.027,101.062,33,5.6,
2003,CHINA,YUNNAN PROVINCE,25.975,101.29,10,5.9,16
2008,CHINA,YUNNAN PROVINCE,25.051,97.919,46,5,
2008,CHINA,YUNNAN PROVINCE,25.044,97.684,1,6,5
2009,CHINA,YUNNAN PROVINCE,25.962,100.825,25,4.9,
2010,CHINA,YUNNAN PROVINCE,25.523,101.903,36,4.8,
2013,CHINA,YUNNAN PROVINCE,25.98,99.812,8,5.4,
2015,CHINA,YUNNAN PROVINCE,23.01,101.755,10,4.5,
2017,CHINA,YUNNAN PROVINCE,25.938,99.841,28,5,
1974,CHINA,"YUNNAN AND SICHUAN PROVINCES, CHAO-T'UNG",28.24,104.01,11,7.1,20000
2012,CHINA,YUNNAN AND SICHUAN PROVINCES,27.767,100.781,10,5.5,4
1520,CHINA,YUNNAN,25.3,100.3,,5.5,
1577,CHINA,YUNNAN,25,98.6,,6.5,170
2001,CHINA,YUNNAN,27.689,101.003,33,5.5,2
2014,CHINA,YUNNAN,27.189,103.409,12,6.2,615
460,THAILAND,YONOK-NAGABANDHU,20.3,100,,,
850,JAPAN,"YOMAGATA, SHONAI",39,139.9,,7,
1909,JAPAN,YOKOHAMA,34.5,141.5,80,7.5,
1897,TAIWAN,YILAN,24.7,121.8,,6,56
1934,TAIWAN,YILAN,24.8,121.5,,6.5,3
1986,TURKEY,"YESILCE,  UCGOZE, SAM",37.2,37.3,12,4.1,
1953,TURKEY,"YENICE, ONON",40,27.5,,7.5,1070
173,CHINA,YELLOW SEA,37.5,120,,,
1668,NORTH KOREA,YELLOW SEA,38,126,,6.4,
1910,CHINA,YELLOW SEA,35,122,,6.8,
2018,PERU,YAUCA,-15.982,-74.512,38,7.1,2
1998,AFGHANISTAN,"YAR HUSAIN, ASTOR",36.479,71.086,236,6.4,1
1912,"MICRONESIA, FED. STATES OF","YAP IS, CAROLINE IS",,,,,
2006,CHINA,YANJIN,27.995,104.138,56,4.9,22
1681,SOUTH KOREA,"YANGYANG, SANCHOK",37.5,129.5,,,
1581,PERU,YANAOCA,-14.1,-71.5,15,6.4,
1943,PERU,"YANACOA, PAMPAMARCA",-14.2,-71.5,,5,75
1662,JAPAN,YAMASIRO,35.5,136,,,600
1963,TURKEY,YALOVA,40.75,29,19,6.1,1
1987,USA,YAKUTAT,58.679,-142.786,10,7.9,
1887,GREECE,XYLOKASTRON-SYKIA (CORINTHIA),38.3,22.8,,,
1935,TAIWAN,XINZHU,24.8,120.8,,6,
1902,CHINA,"XINJIANG, TURKESTAN",39.88,76.2,30,7.7,2500
1914,CHINA,XINJIANG WEIWUER ZIZHIQU PROVINCE(SINKIANG),43.5,91.5,,7.5,1
1983,CHINA,XINJIANG WEIWUER ZIZHIQU PROVINCE,39.945,75.135,16,6.2,
1983,CHINA,XINJIANG WEIWUER ZIZHIQU PROVINCE,40.025,75.26,33,5.6,
1936,CHINA,XINJIANG WEIWUER ZIZHIQU PROVINCE,39.5,74.2,,5.5,
1931,CHINA,XINJIANG WEIWUER ZIZHIQU PROVINCE,47.1,89.8,25,8,10000
1943,CHINA,XINJIANG WEIWUER ZIZHIQU PROVINCE,39.3,73.3,,6.5,
2014,CHINA,XINJIANG PROVINCE,35.905,82.586,10,6.9,
1969,CHINA,XINJIANG PROVINCE,41.45,79.367,10,6.3,4
2005,CHINA,XINJIANG PROVINCE,41.728,79.44,22,6.1,
2011,CHINA,XINJIANG PROVINCE,39.955,77.028,10,5.7,
2011,CHINA,XINJIANG PROVINCE,38.31,76.888,32,5.3,
2015,CHINA,XINJIANG PROVINCE,44.133,85.568,12,5.1,
2012,CHINA,XINJIANG PROVINCE,40.411,90.355,10,5.1,
2006,CHINA,XINJIANG PROVINCE,44.229,83.524,20,4.7,
1896,CHINA,XINJIANG PROVINCE,39.7,75.9,25,6.6,7
2016,CHINA,XINJIANG PROVINCE,39.273,73.978,17,6.6,1
2011,CHINA,XINJIANG PROVINCE,43.015,88.247,21,5.3,
1812,CHINA,XINJIANG PROVINCE,43.7,83,,8,
1842,CHINA,XINJIANG PROVINCE,43.6,93,,7,
1906,CHINA,XINJIANG PROVINCE,43.5,85,33,8.3,280
1944,CHINA,XINJIANG PROVINCE,44,84,,7.2,3
1949,CHINA,XINJIANG PROVINCE,42,84,,7.3,21
1955,CHINA,XINJIANG PROVINCE,39.9,74.6,,7,
1955,CHINA,XINJIANG PROVINCE,44.2,83.6,,6.5,
1965,CHINA,XINJIANG PROVINCE,43.9,87.8,,6.6,
1969,CHINA,XINJIANG PROVINCE,39.7,74.8,,5.5,
2008,CHINA,XINJIANG PROVINCE,35.49,81.467,10,7.2,
2009,CHINA,XINJIANG PROVINCE,40.657,78.692,17,5.5,
2011,CHINA,XINJIANG PROVINCE,43.648,82.437,28,5.6,
2012,CHINA,XINJIANG PROVINCE,43.433,84.7,18,6.3,
2020,CHINA,XINJIANG PROVINCE,39.831,77.106,6,6,1
2003,CHINA,XINJIANG,42.905,80.515,10,6,11
2002,CHINA,XINJIANG,39.57,75.254,10,5.7,
2007,CHINA,XINJIANG,42.913,82.378,10,5.6,
2017,CHINA,XINJIANG,37.643,75.31,8,5.4,8
1786,CHINA,XINJIANG,44,80.8,,6,
1863,CHINA,XINJIANG,43.8,87.6,,5.5,9
1893,CHINA,XINJIANG,41.7,82.8,,6.8,90
1893,CHINA,XINJIANG,41.2,80.3,,6.5,
1896,CHINA,XINJIANG,38,76,,6.5,7
1898,CHINA,XINJIANG,39.8,76.6,,6,47
1924,CHINA,XINJIANG,36.8,83.8,33,7.3,100
1944,CHINA,XINJIANG,39.1,75,,7,
1961,CHINA,XINJIANG,39.8,77.7,,6.8,
1962,CHINA,XINJIANG,44.68,81.58,,6.4,
1963,CHINA,XINJIANG,39.8,74.2,,6.5,1
2013,CHINA,XINJIAN PROVINCE,40.119,77.466,10,5.1,
1987,CHINA,"XINGJIANG WEIWUER ZIZHIQU PROVINCE, WUSHI",41.529,79.318,29,5.9,
2017,CHINA,XINGJIANG,44.302,82.832,20,6.3,
1959,CHINA,XINGJIANG,38.75,75.317,,6.4,
1935,TAIWAN,XIINZHU,24.6,120.8,30,6.5,2746
1829,GREECE,XANTHI-DRAMA,41.2,24.5,,,
1973,AUSTRALIA,"WOLLONGONG, SYDNEY",-34.13,150.27,13,5.5,
1892,USA,WINTERS,38.5,-121.9,,6.2,
1932,USA,WILLETTS POINT,,,,,
1987,USA,"WHITTIER, PASADENA",34.07,-118.1,8,4.8,1
1987,USA,WHITTIER,34.061,-118.078,10,5.7,8
1981,USA,"WESTMORLAND,CALIPATRIA",33.133,-115.65,6,6,
1991,YEMEN,WESTERN  ARABIAN PENINSULA,13.887,44.068,10,4.7,11
2007,IRAN,WESTERN,31.68,49.93,7,4.8,
2003,IRAN,WESTERN,31.953,49.209,33,5,
2002,IRAN,WESTERN,34.642,47.4,33,5.4,2
2007,IRAN,WESTERN,33.49,48.93,16,4.7,
1998,IRAN,WESTERN,33.199,47.225,39,5.4,
2003,TURKEY,WESTERN,38.111,28.887,10,4.5,
2003,TURKEY,WESTERN,38.019,28.927,10,5.4,
2006,IRAN,WESTERN,33.5,48.78,7,6.1,70
1928,TURKEY,WESTERN,40.8,26.8,,4.3,
1979,AUSTRALIA,WESTERN,-30.812,117.179,6,6.1,
2004,SAUDI ARABIA,WESTERN,27.836,36.905,10,4.6,
2009,SAUDI ARABIA,WESTERN,25.212,37.597,10,4.6,
2009,SAUDI ARABIA,WESTERN,25.292,37.744,2,5.7,
2008,USA,WEST SALEM,38.452,-87.886,14,5.3,
2018,SOUTH AFRICA,WEST RAND,-26.4,27.5,,2.1,7
1906,AUSTRALIA,WEST COAST,-22,109,,7.8,
1985,ARGENTINA,"WEST CENTRAL, MENDOZA, LA LIGUA",-33.053,-68.467,5,6.9,6
